file,line_no,id,speaker,trans,category,arc,episode
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透01.csv,3,4901900390010,透,"欸 啊~
是本命啊",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透01
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透01.csv,5,4901900390020,透,"呼呼
这个就是本命吧，不过",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透01
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透2.csv,3,4901900400010,透,"欸 啊~
是本命啊",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透2.csv,5,4901900400020,透,"呼呼
这个就是本命吧，不过",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透2.csv,7,4901900400030,透,诶……,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透2.csv,8,4901900400040,透,"什么嘛
这不就是Forever对Forever了吗",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透2.csv,10,4901900400050,透,"说不定就会这么
真的",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透2.csv,11,4901900400060,透,直到永远,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透2
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-ノクチル.csv,2,4901041060010,透,击个掌、耶——,283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ノクチル
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-ノクチル.csv,3,4901041060020,透,"……诶、来嘛
来",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ノクチル
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-ノクチル.csv,4,4901041060030,透,击个掌、耶——,283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ノクチル
283活动剧情\Detective×Murder\special_communications_490103202.csv,23,4901032020140,透,嗯——……,283活动剧情,Detective×Murder,special_communications_490103202
283活动剧情\Detective×Murder\special_communications_490103202.csv,24,4901032020150,透,红茶，真好喝,283活动剧情,Detective×Murder,special_communications_490103202
283活动剧情\Detective×Murder\special_communications_490103212.csv,11,4901032120100,透,嗯——……,283活动剧情,Detective×Murder,special_communications_490103212
283活动剧情\Detective×Murder\【２日目】16_08-贖罪の山羊１.csv,5,4901032200030,透,"嗯
她不是有吗，不在场证明",283活动剧情,Detective×Murder,【２日目】16_08-贖罪の山羊１
283活动剧情\Detective×Murder\【２日目】16_52-密室からの脱出２.csv,19,4901032390070,透,"如果在踏上下一段的同时，
用脚尖把高尔夫球棒挑起来……",283活动剧情,Detective×Murder,【２日目】16_52-密室からの脱出２
283活动剧情\Detective×Murder\【２日目】16_52-密室からの脱出２.csv,20,4901032390080,透,"高尔夫球棒就会掉在地板上，
让其他人无法推断出其用途",283活动剧情,Detective×Murder,【２日目】16_52-密室からの脱出２
283活动剧情\Detective×Murder\【２日目】16_52-密室からの脱出２.csv,26,4901032390140,透,"然后，犯人就在大雨中经过了我的房间的屋顶上……
并从屋外回到了洋房里面吗",283活动剧情,Detective×Murder,【２日目】16_52-密室からの脱出２
283活动剧情\Detective×Murder\【２日目】16_52-密室からの脱出２.csv,27,4901032390150,透,呵呵，真行啊,283活动剧情,Detective×Murder,【２日目】16_52-密室からの脱出２
283活动剧情\Detective×Murder\【２日目】17_11-対峙１.csv,30,4901032300120,透,是这样啊……,283活动剧情,Detective×Murder,【２日目】17_11-対峙１
