file,line_no,id,speaker,text,category,arc,episode
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透01.csv,3,4901900390010,透,"え、あー……
本命かー",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透01
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透01.csv,5,4901900390020,透,"ふふっ
そうでしょ、でも",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透01
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透2.csv,3,4901900400010,透,"え、あー……
本命かー",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透2.csv,5,4901900400020,透,"ふふっ
そうでしょ、でも",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透2.csv,7,4901900400030,透,え……,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透2.csv,8,4901900400040,透,"何それ
フォーエバー返しじゃん",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透2.csv,10,4901900400050,透,"いられるかもね
本当に",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透2.csv,11,4901900400060,透,ずっと,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透2
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-ノクチル.csv,2,4901041060010,透,ハイタッチ、イエー,283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ノクチル
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-ノクチル.csv,3,4901041060020,透,"……え、やってよ
ほら",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ノクチル
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-ノクチル.csv,4,4901041060030,透,ハイタッチ、イエー,283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ノクチル
283活动剧情\Detective×Murder\special_communications_490103202.csv,23,4901032020140,透,んー……,283活动剧情,Detective×Murder,special_communications_490103202
283活动剧情\Detective×Murder\special_communications_490103202.csv,24,4901032020150,透,美味しい、紅茶,283活动剧情,Detective×Murder,special_communications_490103202
283活动剧情\Detective×Murder\special_communications_490103212.csv,11,4901032120100,透,んー……,283活动剧情,Detective×Murder,special_communications_490103212
283活动剧情\Detective×Murder\【２日目】16_08-贖罪の山羊１.csv,5,4901032200030,透,"うん
あるじゃん、アリバイ",283活动剧情,Detective×Murder,【２日目】16_08-贖罪の山羊１
283活动剧情\Detective×Murder\【２日目】16_52-密室からの脱出２.csv,19,4901032390070,透,"次の段に足をかけて、
つま先でゴルフクラブを持ち上げれば……",283活动剧情,Detective×Murder,【２日目】16_52-密室からの脱出２
283活动剧情\Detective×Murder\【２日目】16_52-密室からの脱出２.csv,20,4901032390080,透,"ゴルフクラブは床に落ちて、
何に使われたかわからなくなるし",283活动剧情,Detective×Murder,【２日目】16_52-密室からの脱出２
283活动剧情\Detective×Murder\【２日目】16_52-密室からの脱出２.csv,26,4901032390140,透,"それで雨が降ってる中、私の部屋の屋根の上を通って……
屋外から屋敷の中に入ったわけか",283活动剧情,Detective×Murder,【２日目】16_52-密室からの脱出２
