file,line_no,id,speaker,text,trans,category,arc,episode
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透01.csv,3,4901900390010,透,"え、あー……
本命かー","欸 啊~
是本命啊",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透01
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透01.csv,5,4901900390020,透,"ふふっ
そうでしょ、でも","呼呼
这个就是本命吧，不过",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透01
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透2.csv,3,4901900400010,透,"え、あー……
本命かー","欸 啊~
是本命啊",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透2.csv,5,4901900400020,透,"ふふっ
そうでしょ、でも","呼呼
这个就是本命吧，不过",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透2.csv,7,4901900400030,透,え……,诶……,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透2.csv,8,4901900400040,透,"何それ
フォーエバー返しじゃん","什么嘛
这不就是Forever对Forever了吗",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透2.csv,10,4901900400050,透,"いられるかもね
本当に","说不定就会这么
真的",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情透2.csv,11,4901900400060,透,ずっと,直到永远,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情透2
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-ノクチル.csv,2,4901041060010,透,ハイタッチ、イエー,击个掌、耶——,283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ノクチル
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-ノクチル.csv,3,4901041060020,透,"……え、やってよ
ほら","……诶、来嘛
来",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ノクチル
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-ノクチル.csv,4,4901041060030,透,ハイタッチ、イエー,击个掌、耶——,283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ノクチル
283活动剧情\Detective×Murder\special_communications_490103202.csv,23,4901032020140,透,んー……,嗯——……,283活动剧情,Detective×Murder,special_communications_490103202
283活动剧情\Detective×Murder\special_communications_490103202.csv,24,4901032020150,透,美味しい、紅茶,红茶，真好喝,283活动剧情,Detective×Murder,special_communications_490103202
283活动剧情\Detective×Murder\special_communications_490103212.csv,11,4901032120100,透,んー……,嗯——……,283活动剧情,Detective×Murder,special_communications_490103212
283活动剧情\Detective×Murder\【２日目】16_08-贖罪の山羊１.csv,5,4901032200030,透,"うん
あるじゃん、アリバイ","嗯
她不是有吗，不在场证明",283活动剧情,Detective×Murder,【２日目】16_08-贖罪の山羊１
283活动剧情\Detective×Murder\【２日目】16_52-密室からの脱出２.csv,19,4901032390070,透,"次の段に足をかけて、
つま先でゴルフクラブを持ち上げれば……","如果在踏上下一段的同时，
用脚尖把高尔夫球棒挑起来……",283活动剧情,Detective×Murder,【２日目】16_52-密室からの脱出２
