file,line_no,id,speaker,trans,category,arc,episode
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情糸1.csv,3,4901900430010,小糸,"噼诶……！
非、非常感谢……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情糸1
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情糸1.csv,4,4901900430020,小糸,像宝石一样漂亮……,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情糸1
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情糸1.csv,5,4901900430030,小糸,我、我会用心品尝的……！,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情糸1
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情糸2.csv,3,4901900440010,小糸,"噼诶……！
非、非常感谢……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情糸2
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情糸2.csv,4,4901900440020,小糸,"这个是……琥珀糖吧
好像还是第一次见到实物……",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情糸2
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情糸2.csv,5,4901900440030,小糸,像宝石一样漂亮……,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情糸2
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情糸2.csv,7,4901900440040,小糸,,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情糸2
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情糸2.csv,8,4901900440050,小糸,吃掉都有些可惜了……,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情糸2
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情糸2.csv,10,4901900440060,小糸,"啊、好的，那是当然
毕竟是零食嘛……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情糸2
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情糸2.csv,11,4901900440070,小糸,我会一个个用心品尝的……！,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情糸2
283活动剧情/5th Anniversary 当日スペシャルコミュ/5th Anniversary-ノクチル.csv,8,4901041060070,小糸,"觉、觉得很不可思议
我……",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ノクチル
283活动剧情/5th Anniversary 当日スペシャルコミュ/5th Anniversary-ノクチル.csv,9,4901041060080,小糸,"那、那些对透啊圆香啊雏菜啊
对家人也是",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ノクチル
283活动剧情/5th Anniversary 当日スペシャルコミュ/5th Anniversary-ノクチル.csv,10,4901041060090,小糸,"对、对谁都不曾说过的话
能跟制作人讲",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ノクチル
283活动剧情/Detective×Murder/special_communications_490103202.csv,17,4901032020090,小糸,我、我也很在意“A”的事情……,283活动剧情,Detective×Murder,special_communications_490103202
283活动剧情/Detective×Murder/special_communications_490103202.csv,18,4901032020100,小糸,但是，怀疑是指什么呢……？,283活动剧情,Detective×Murder,special_communications_490103202
283活动剧情/Detective×Murder/special_communications_490103211.csv,12,4901032110080,小糸,"啊……
原、原来如此……",283活动剧情,Detective×Murder,special_communications_490103211
283活动剧情/Detective×Murder/special_communications_490103211.csv,13,4901032110090,小糸,"但、但是……门，大部分……都上了锁……
洋房内的构造……好像，不太容易弄清楚……？",283活动剧情,Detective×Murder,special_communications_490103211
283活动剧情/Detective×Murder/【２日目】16_05-推理放棄.csv,17,4901032230090,小糸,"是、是啊……！
刚才，我们大家还一起去确认了足迹……",283活动剧情,Detective×Murder,【２日目】16_05-推理放棄
283活动剧情/Detective×Murder/【２日目】16_08-贖罪の山羊２.csv,27,4901032370100,小糸,我、我也听说过她好像一直盯着棋子看……！,283活动剧情,Detective×Murder,【２日目】16_08-贖罪の山羊２
283活动剧情/Detective×Murder/【２日目】16_08-贖罪の山羊２.csv,28,4901032370110,小糸,但是……,283活动剧情,Detective×Murder,【２日目】16_08-贖罪の山羊２
283活动剧情/Detective×Murder/【２日目】16_52-密室からの脱出２.csv,21,4901032390090,小糸,如、如果只有高尔夫球棒散落在地上也会引人怀疑,283活动剧情,Detective×Murder,【２日目】16_52-密室からの脱出２
283活动剧情/Detective×Murder/【２日目】16_52-密室からの脱出２.csv,22,4901032390100,小糸,"所以，犯人就把书本和奖杯也弄得到处都是
让房间看起来乱七八糟的，是这么一回事吗……？",283活动剧情,Detective×Murder,【２日目】16_52-密室からの脱出２
283活动剧情/Detective×Murder/【２日目】18_36-理由.csv,33,4901032320270,小糸,"那……那个……！
请、请稍微等一下……！",283活动剧情,Detective×Murder,【２日目】18_36-理由
283活动剧情/Detective×Murder/【２日目】18_36-理由.csv,34,4901032320280,小糸,"如果你去“A”的房间的时候
就拿着装满了冻结的塑料瓶的环保袋……",283活动剧情,Detective×Murder,【２日目】18_36-理由
283活动剧情/Detective×Murder/【２日目】18_36-理由.csv,35,4901032320290,小糸,应、应该是从一开始就打算杀了他才对……,283活动剧情,Detective×Murder,【２日目】18_36-理由
283活动剧情/Detective×Murder/【２日目】午前-透・円香・小糸・雛菜.csv,4,4901032150030,小糸,"嗯、嗯
虽然确实可能是那样……",283活动剧情,Detective×Murder,【２日目】午前-透・円香・小糸・雛菜
283活动剧情/Detective×Murder/【２日目】午前-透・円香・小糸・雛菜.csv,5,4901032150040,小糸,"但是，或许也有除此之外的动机……
毕竟“侦探”这个工作也很容易拉仇恨……",283活动剧情,Detective×Murder,【２日目】午前-透・円香・小糸・雛菜
283活动剧情/Detective×Murder/【２日目】午前-透・円香・小糸・雛菜.csv,15,4901032150110,小糸,啊……我、我呢……,283活动剧情,Detective×Murder,【２日目】午前-透・円香・小糸・雛菜
283活动剧情/Detective×Murder/【２日目】午前-透・円香・小糸・雛菜.csv,16,4901032150120,小糸,"在大、大堂的角落里发现了“A”的手账，
所以就把它拿了过来，读了一下……！",283活动剧情,Detective×Murder,【２日目】午前-透・円香・小糸・雛菜
283活动剧情/Detective×Murder/【２日目】午前-透・円香・小糸・雛菜.csv,37,4901032150250,小糸,还……还有……！,283活动剧情,Detective×Murder,【２日目】午前-透・円香・小糸・雛菜
283活动剧情/Detective×Murder/【２日目】午前-透・円香・小糸・雛菜.csv,38,4901032150260,小糸,"我在这里睡觉的时候，
好像从天花板的方向传来了什么声音……",283活动剧情,Detective×Murder,【２日目】午前-透・円香・小糸・雛菜
283活动剧情/Detective×Murder/【２日目】午前-透・円香・小糸・雛菜.csv,47,4901032150320,小糸,啊……是的,283活动剧情,Detective×Murder,【２日目】午前-透・円香・小糸・雛菜
283活动剧情/Detective×Murder/【２日目】午前-透・円香・小糸・雛菜.csv,48,4901032150330,小糸,"如果要经过小透的房间上面
会从哪里下来，好像很容易判断……",283活动剧情,Detective×Murder,【２日目】午前-透・円香・小糸・雛菜
283活动剧情/Detective×Murder/【２日目】午前-透・円香・小糸・雛菜.csv,54,4901032150390,小糸,"噫诶……！
也就是说……是顺着滴水槽之类的装饰品下来的……？",283活动剧情,Detective×Murder,【２日目】午前-透・円香・小糸・雛菜
283活动剧情/Detective×Murder/【２日目】午前-透・円香・小糸・雛菜.csv,55,4901032150400,小糸,"…………！
那、那个……！",283活动剧情,Detective×Murder,【２日目】午前-透・円香・小糸・雛菜
283活动剧情/Detective×Murder/【２日目】午前-透・円香・小糸・雛菜.csv,59,4901032150440,小糸,"不、不过，昨天地面很泥泞……
所以，足迹只留下来了一点点",283活动剧情,Detective×Murder,【２日目】午前-透・円香・小糸・雛菜
283活动剧情/Detective×Murder/【２日目】午前-透・円香・小糸・雛菜.csv,60,4901032150450,小糸,"啊，地上好像只有离开的足迹，
并没有来这里的痕迹……！",283活动剧情,Detective×Murder,【２日目】午前-透・円香・小糸・雛菜
283活动剧情/Detective×Murder/【２日目】午前-透・円香・小糸・雛菜.csv,61,4901032150460,小糸,所以——,283活动剧情,Detective×Murder,【２日目】午前-透・円香・小糸・雛菜
283活动剧情/Detective×Murder/【２日目】午前-透・円香・小糸・雛菜.csv,67,4901032150470,小糸,"我、我也觉得是那样……
因为洋房的周边并没有“到来又消失了”的足迹……",283活动剧情,Detective×Murder,【２日目】午前-透・円香・小糸・雛菜
283活动剧情/Detective×Murder/【２日目】午前-透・円香・小糸・雛菜.csv,70,4901032150500,小糸,"犯人是不是从天窗出来，然后在这里下来的呢……？
毕竟洋房周围并没有“到来又消失了”的足迹……",283活动剧情,Detective×Murder,【２日目】午前-透・円香・小糸・雛菜
283活动剧情/Detective×Murder/【２日目】午前-透・円香・小糸・雛菜.csv,79,4901032150580,小糸,那、那个……,283活动剧情,Detective×Murder,【２日目】午前-透・円香・小糸・雛菜
283活动剧情/Detective×Murder/【２日目】午前-透・円香・小糸・雛菜.csv,80,4901032150590,小糸,"犯、犯人有没有可能是……
从天窗出来，然后从这里下来的呢……？",283活动剧情,Detective×Murder,【２日目】午前-透・円香・小糸・雛菜
283活动剧情/Detective×Murder/【２日目】午前-透・円香・小糸・雛菜.csv,81,4901032150600,小糸,洋房的周围也没有“到来又消失了”的足迹……,283活动剧情,Detective×Murder,【２日目】午前-透・円香・小糸・雛菜
