file,line_no,id,speaker,text,category,arc,episode
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,5,4001044080011,めぐる＆円香＆雛菜,…………,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,6,4001044080020,めぐる,"前も言ったけど
わたしは大丈夫だよ、プロデューサー！",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,11,4001044080060,めぐる,"そうそう！
ちょっと残念だったけど、そういうこともあるよねって",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,12,4001044080070,めぐる,みんなでそんな話をしたの,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,23,4001044080120,めぐる,えへへっ,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,24,4001044080130,めぐる,"いつか来た時に備えて
練習しておかないとだもん！",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,25,4001044080140,めぐる,ね、プロデューサー,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,35,4001044080190,めぐる,あ、うん！,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,36,4001044080200,めぐる,あー！　あさひだ！,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,42,4001044080260,めぐる,"いいと思う！
あさひもいるとみんな喜んでくれるよ",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,43,4001044080270,めぐる,それに、楽しいのは間違いないから！,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,46,4001044080300,めぐる,"だよね！
円香と雛菜も！　早くー！",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,60,4001044080380,めぐる,"みんな
準備できた！？",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,62,4001044080400,めぐる,わたしはいつでもオッケーだよ！,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,66,4001044080450,めぐる,"大丈夫そう？
プロデューサーもいい？",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,71,4001044010460,めぐる,…………？,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,72,4001044010470,めぐる,"やっぱり雛菜だー！
お疲れさま！",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,74,4001044010490,めぐる,"あっ、ごめん
もしかして、打ち合わせ中だった？",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,76,4001044010500,めぐる,"もらってたアンケート埋めたから
渡そうと思って",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,78,4001044010510,めぐる,"よろしくお願いしまーす！
お話し中だったのに邪魔しちゃってごめん……！",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,80,4001044010530,めぐる,"今日は雛菜ひとりなんだね
久しぶりに他のみんなにも会いたかったなー……",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,82,4001044010550,めぐる,"学生の本分だもんねー
わたしも早く宿題やらなきゃだ",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,83,4001044010560,めぐる,"──って、ごめん……
またやっちゃった",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,84,4001044010570,めぐる,"最近、真乃にも灯織にも事務所のみんなにも
全然会ってなかったからつい……！",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,85,4001044010580,めぐる,みんなと一緒のお仕事があればいいのに,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,88,4001044010600,めぐる,えっ？,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,90,4001044010620,めぐる,なになに？　なんの話？,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,2,4001044020010,めぐる,"────うん、うん
そっか",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,3,4001044020020,めぐる,"それは仕方ない！
全然誰も悪くないもん！",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,5,4001044020040,めぐる,"ううん、大丈夫だよ！
みんなにはわたしから説明しておくから",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,6,4001044020050,めぐる,"何か決まったら後で報告する！
……はーい！",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,7,4001044020060,めぐる,"ファイトだよ！
ストレイライトのみんなにもよろしくねー！",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,9,4001044020080,めぐる,"うん
ストレイライトの練習、長引きそうなんだって",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,11,4001044020100,めぐる,"だから、わたしたちだけでも大丈夫だよって
言っちゃった",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,12,4001044020110,めぐる,……んだけど、先走っちゃったかな,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,14,4001044020130,めぐる,そっか、よかった！,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,15,4001044020140,めぐる,"じゃあじゃあ、みんな座って座って！
会議を始めまーす！",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,18,4001044020170,めぐる,どうぞどうぞ！,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,25,4001044020240,めぐる,"そうなの！
だから、雛菜とわたしから説明するね！",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,34,4001044020330,めぐる,"そうそう！
お仕事に密着する感じ！",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,51,4001044020450,めぐる,──それでね,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,52,4001044020460,めぐる,"他にもできそうなことないかなって
わたしたちでも考えたくて",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,59,4001044020530,めぐる,イルミネもそう……！,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,82,4001044020630,めぐる,"…………？
どうしたの、雛菜",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,90,4001044020710,めぐる,"……こほん
ではでは────",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,91,4001044020720,めぐる,"『第１回、２８３をひろげよう会議』を
始めたいと思います――！",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,2,4001044030010,めぐる,"……こほん
ではでは────",283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,3,4001044030020,めぐる,"『第１回、２８３をひろげよう会議』を
始めたいと思います――！",283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,5,4001044030040,めぐる,ううん、今考えた！,283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,6,4001044030050,めぐる,"２８３のみんなのことをもっと知ってもらおう！
そのために何しよう？　って会議だから",283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,7,4001044030060,めぐる,"なんか……翼をバッと広げて、
パタパターって羽ばたく感じ！",283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,8,4001044030070,めぐる,みんなも案あったら教えてー！,283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,11,4001044030100,めぐる,ほんとー！？　やった！,283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,16,4001044030150,めぐる,"うんうん！
わたしも早く使いたいなー！",283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,24,4001044030180,めぐる,"そっかー！
よかった",283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,27,4001044030190,めぐる,"うん！
すっごくいい案だよね！",283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,28,4001044030200,めぐる,今からすごーく楽しみ！,283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,31,4001044030210,めぐる,雛菜が撮ろうって言ってくれたおかげだ！,283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,33,4001044030230,めぐる,雛菜？,283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,47,4001044030300,めぐる,"うんうん！
そうなったらすごく嬉しい！",283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,48,4001044030310,めぐる,"見た人が友達におすすめしてくれて……
みたいなこともあるかも！",283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,51,4001044030340,めぐる,『#２８３をひろげよう』！,283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,57,4001044030341,めぐる＆雛菜,…………,283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,60,4001044030350,めぐる,"こちらこそだよ！
参加できて嬉しい！",283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,65,4001044030380,めぐる,うん！　お疲れさま！,283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,68,4001044030410,めぐる,"任せてー！
大事なトップバッターだもん",283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,69,4001044030420,めぐる,張りきっちゃう！,283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,71,4001044030440,めぐる,"…………！
ふふっ……",283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,73,4001044030460,めぐる,"ううん！
こうやって雛菜といっぱいお話できて嬉しいなって",283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,75,4001044030480,めぐる,そうだよー！,283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,76,4001044030490,めぐる,"じゃあ、またね！
投稿楽しみにしててー！",283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,2,4001044040010,めぐる,三脚以外に何か要るかな？,283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,6,4001044040050,めぐる,"それもそっか！
じゃあ今日はカメラマンするねー！",283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,7,4001044040060,めぐる,"円香と雛菜はレッスンお願いします！
もちろん、透と小糸もしっかり撮るよ！",283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,8,4001044040070,めぐる,"編集で『めぐるCAM』って文字
入れてもらっちゃおう",283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,11,4001044040100,めぐる,"全然いいよー！
なんでなんでー？",283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,14,4001044040130,めぐる,"なるほど……
うーん",283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,15,4001044040140,めぐる,わたしは雛菜たちが頑張ってるからだと思うな,283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,18,4001044040160,めぐる,うん、きっとそう！,283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,19,4001044040170,めぐる,"他ユニットの練習風景って
あんまり見たことないから楽しみだなー！",283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,25,4001044040230,めぐる,それならイルミネでも──……,283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,28,4001044040240,めぐる,あれ、プロデューサー！,283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,29,4001044040250,めぐる,"どうしたの？
なんか急いでる……？",283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,31,4001044040260,めぐる,んん？,283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,38,4001044040281,めぐる＆円香＆雛菜,………………,283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,41,4001044040290,めぐる,"ううん、わたしは全然！
でも……──",283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,53,4001044040390,めぐる,"う、うん……！
わたしはいいけど……",283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,54,4001044040400,めぐる,プロデューサー、それでもいいかな？,283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,60,4001044040431,めぐる＆円香,………………,283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,68,4001044040460,めぐる,……今日、残念だったなー,283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,70,4001044040480,めぐる,仕方ないことだってわかってるんだけど,283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,71,4001044040490,めぐる,"透と小糸にも会える！　って
ちょっと浮かれてたから",283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,75,4001044040530,めぐる,"それは……
そう、なっちゃうのかな……",283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
