file,line_no,id,speaker,text,trans,category,arc,episode
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,5,4001044080011,めぐる＆円香＆雛菜,…………,…………,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,6,4001044080020,めぐる,"前も言ったけど
わたしは大丈夫だよ、プロデューサー！","我之前也说过的
我不介意哦，制作人！",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,11,4001044080060,めぐる,"そうそう！
ちょっと残念だったけど、そういうこともあるよねって","没错！
虽说有点可惜，但也有这样不得已的情况呢",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,12,4001044080070,めぐる,みんなでそんな話をしたの,大家都是这么说的,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,23,4001044080120,めぐる,えへへっ,诶嘿嘿,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,24,4001044080130,めぐる,"いつか来た時に備えて
練習しておかないとだもん！","因为那是为了有朝一日
而进行的练习！",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,25,4001044080140,めぐる,ね、プロデューサー,对吗，制作人,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,35,4001044080190,めぐる,あ、うん！,啊，嗯！,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,36,4001044080200,めぐる,あー！　あさひだ！,啊——！　是朝日！,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,42,4001044080260,めぐる,"いいと思う！
あさひもいるとみんな喜んでくれるよ","我觉得很好哦！
朝日也参加的话大家也会很高兴的",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,43,4001044080270,めぐる,それに、楽しいのは間違いないから！,而且，“好玩”这一点是不会错的！,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,46,4001044080300,めぐる,"だよね！
円香と雛菜も！　早くー！","没错！
圆香和雏菜！　快过来——！",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,60,4001044080380,めぐる,"みんな
準備できた！？",大家，准备好了吗！？,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,62,4001044080400,めぐる,わたしはいつでもオッケーだよ！,我随时都Okay哦！,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,66,4001044080450,めぐる,"大丈夫そう？
プロデューサーもいい？","可以了吗？
制作人也准备好了？",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,71,4001044010460,めぐる,…………？,…………？,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,72,4001044010470,めぐる,"やっぱり雛菜だー！
お疲れさま！","果然是雏菜——！
你辛苦啦！",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,74,4001044010490,めぐる,"あっ、ごめん
もしかして、打ち合わせ中だった？","啊，抱歉
你们是在开会吗？",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,76,4001044010500,めぐる,"もらってたアンケート埋めたから
渡そうと思って","我是来交
填好的问卷的",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,78,4001044010510,めぐる,"よろしくお願いしまーす！
お話し中だったのに邪魔しちゃってごめん……！","那就拜托你咯！
不好意思打扰到你们谈话了……！",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,80,4001044010530,めぐる,"今日は雛菜ひとりなんだね
久しぶりに他のみんなにも会いたかったなー……","今天只有雏菜在呢
好久没见过其他人了——……",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,82,4001044010550,めぐる,"学生の本分だもんねー
わたしも早く宿題やらなきゃだ","毕竟是学生的本分呢——
我也得赶紧写作业才行",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,83,4001044010560,めぐる,"──って、ごめん……
またやっちゃった","——啊，抱歉……
我又大声说话了",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
