file,line_no,id,speaker,text,category,arc,episode
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,5,4001044080011,めぐる＆円香＆雛菜,…………,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,10,4001044080050,円香,"……総合的に考えた結果なんですよね？
それなら、やむを得ないことだったのでは",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,27,4001044080150,円香,"まあ、次はないと
……何度も謝るからにはそういうことでいいんですよね？",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,28,4001044080160,円香,"レッスン室を増設するのかなんなのか……
解決の仕方は知りませんが",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,47,4001044080310,円香,今行くから,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,65,4001044080430,円香,雛菜、モニターの角度調整して,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,33,4001044010170,円香,…………,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,34,4001044010180,円香,…………,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,19,4001044020180,円香,…………,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,20,4001044020190,円香,プロデューサーは？,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,35,4001044020340,円香,"私は今度のユニットの練習を
撮影したいってことと",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,36,4001044020350,円香,時間があれば撮影も手伝ってくれって聞いてるけど,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,39,4001044020380,円香,ん,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,60,4001044020540,円香,うちも残りふたりは、都合がつかなかったから,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,62,4001044020560,円香,"そうじゃなくても、
全員集まってっていうのは難しい気がする",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,63,4001044020570,円香,"全ユニットの全メンバーってなれば
相当な人数だし",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,84,4001044020650,円香,…………,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,4,4001044030030,円香,"ああ……
これそういう名前の会議だったの",283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第2話-[283PRO]MEETING bhd.csv,14,4001044030130,円香,いいんじゃないの,283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,3,4001044040020,円香,"……
大丈夫じゃない？",283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,4,4001044040030,円香,"みんなで撮りあった映像ってことで
載せるみたいだし",283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,5,4001044040040,円香,"頑張りすぎない方が
むしろ臨場感が出るかも",283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,16,4001044040141,円香＆雛菜,…………,283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,21,4001044040190,円香,"まあ、色々都合がよかったんじゃない？
実際",283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情/#２８３をひろげよう/第3話-[283PRO]LESSON bhd.csv,22,4001044040200,円香,"テレビやライブの為に準備してる
パフォーマンスだと、ネタバレになるから",283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
