file,line_no,id,speaker,text,trans,category,arc,episode
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,5,4001044080011,めぐる＆円香＆雛菜,…………,…………,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,10,4001044080050,円香,"……総合的に考えた結果なんですよね？
それなら、やむを得ないことだったのでは","……那是综合考量后得出的结论对吧？
那也是无可奈何的事",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,27,4001044080150,円香,"まあ、次はないと
……何度も謝るからにはそういうことでいいんですよね？","嘛，下不为例
……既然你非要道歉，那不如这样吧？",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,28,4001044080160,円香,"レッスン室を増設するのかなんなのか……
解決の仕方は知りませんが","比如增设练习场地什么的……
我是不懂你要如何解决问题啦",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,47,4001044080310,円香,今行くから,这就去,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,65,4001044080430,円香,雛菜、モニターの角度調整して,雏菜，调整一下屏幕的角度吧,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,33,4001044010170,円香,…………,…………,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,34,4001044010180,円香,…………,…………,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,19,4001044020180,円香,…………,…………,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,20,4001044020190,円香,プロデューサーは？,制作人呢？,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,35,4001044020340,円香,"私は今度のユニットの練習を
撮影したいってことと","我这边听到的是
“拍摄下次组合练习的视频”",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,36,4001044020350,円香,時間があれば撮影も手伝ってくれって聞いてるけど,要是有时间的话他也会来帮忙拍摄,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,39,4001044020380,円香,ん,嗯,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,60,4001044020540,円香,うちも残りふたりは、都合がつかなかったから,我们组另外两个，因为有其他事也来不了,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,62,4001044020560,円香,"そうじゃなくても、
全員集まってっていうのは難しい気がする","就算不是年末
我觉得让全部人聚在一起也挺有难度的",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,63,4001044020570,円香,"全ユニットの全メンバーってなれば
相当な人数だし","所有组合全员到齐
人可太多了",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,84,4001044020650,円香,…………,…………,283活动剧情,#２８３をひろげよう,第1話-MEETING
