file,line_no,id,speaker,trans,category,arc,episode
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,3,4001044080010,雛菜,"诶～
为什么～？",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,5,4001044080011,めぐる＆円香＆雛菜,…………,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,7,4001044080030,雛菜,嗯～,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,8,4001044080040,雛菜,你不必道歉～,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,16,4001044080080,雛菜,…………,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,17,4001044080090,雛菜,"不过，要是以后
再发生同样的事，雏菜不会让步的",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,19,4001044080100,雛菜,"之前我是想着
“也不是为了什么而进行的练习”就无所谓",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,21,4001044080110,雛菜,"不过，平时的练习
也并非漫无目标的",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,30,4001044080170,雛菜,"好主意～！
下次去请示社长吧～？",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,48,4001044080320,雛菜,对了，制作人,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,50,4001044080330,雛菜,"这次我们要做的事
大概不会和重大机遇有什么关系",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,51,4001044080340,雛菜,尽管这样，也没关系吗？,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
