file,line_no,id,speaker,text,category,arc,episode
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,3,4001044080010,雛菜,"へ～
何が～？",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,5,4001044080011,めぐる＆円香＆雛菜,…………,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,7,4001044080030,雛菜,はい～,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,8,4001044080040,雛菜,別に謝らなくて大丈夫ですけど～,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,16,4001044080080,雛菜,…………,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,17,4001044080090,雛菜,"でも、雛菜
今度同じことがあっても譲ってあげないかも",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,19,4001044080100,雛菜,"なんの為でもない練習だし
ま、いっか～って思ってたけど",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,21,4001044080110,雛菜,"なんか、普段の練習も
なんの為でもなくないみたいだから",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,30,4001044080170,雛菜,"それいい～！
今度社長にもお願いしてみれば～？",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,48,4001044080320,雛菜,ね、プロデューサー,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,50,4001044080330,雛菜,"今回雛菜たちがやったことって多分
あんまり大きいチャンスには繋がってない気がするけど",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,51,4001044080340,雛菜,それでも、やってよかった？,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,55,4001044080350,雛菜,……そっか,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,56,4001044080360,雛菜,じゃあ、よかったね,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,58,4001044080370,雛菜,"あは～
よし～、じゃあいっぱいリプライするか～",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,63,4001044080410,雛菜,"あ～
ちょっと待ってください～",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,68,4001044080460,雛菜,"……あ、待って
ハッシュタグ付けるの忘れてた～",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,69,4001044080470,雛菜,えっと……────,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,70,4001044080480,雛菜,『#２８３をひろげよう』,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
