file,line_no,id,speaker,text,trans,category,arc,episode
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,3,4001044080010,雛菜,"へ～
何が～？","诶～
为什么～？",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,5,4001044080011,めぐる＆円香＆雛菜,…………,…………,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,7,4001044080030,雛菜,はい～,嗯～,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,8,4001044080040,雛菜,別に謝らなくて大丈夫ですけど～,你不必道歉～,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,16,4001044080080,雛菜,…………,…………,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,17,4001044080090,雛菜,"でも、雛菜
今度同じことがあっても譲ってあげないかも","不过，要是以后
再发生同样的事，雏菜不会让步的",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,19,4001044080100,雛菜,"なんの為でもない練習だし
ま、いっか～って思ってたけど","之前我是想着
“也不是为了什么而进行的练习”就无所谓",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,21,4001044080110,雛菜,"なんか、普段の練習も
なんの為でもなくないみたいだから","不过，平时的练习
也并非漫无目标的",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,30,4001044080170,雛菜,"それいい～！
今度社長にもお願いしてみれば～？","好主意～！
下次去请示社长吧～？",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,48,4001044080320,雛菜,ね、プロデューサー,对了，制作人,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,50,4001044080330,雛菜,"今回雛菜たちがやったことって多分
あんまり大きいチャンスには繋がってない気がするけど","这次我们要做的事
大概不会和重大机遇有什么关系",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,51,4001044080340,雛菜,それでも、やってよかった？,尽管这样，也没关系吗？,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,55,4001044080350,雛菜,……そっか,……是吗,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,56,4001044080360,雛菜,じゃあ、よかったね,那就好了,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,58,4001044080370,雛菜,"あは～
よし～、じゃあいっぱいリプライするか～","啊哈～
好叻～，要多多回复留言咯～",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,63,4001044080410,雛菜,"あ～
ちょっと待ってください～","啊～
稍等一下～",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,68,4001044080460,雛菜,"……あ、待って
ハッシュタグ付けるの忘れてた～","……啊，等等
忘了打上话题～",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,69,4001044080470,雛菜,えっと……────,唔……————,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/エンディング-REPLY PARTY.csv,70,4001044080480,雛菜,『#２８３をひろげよう』,“#展开283”,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,2,4001044010010,雛菜,"──あ
『アンティーカ』","——啊
是“L'Antica”",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,3,4001044010020,雛菜,……おっきい看板～……,……好大的广告牌～……,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,4,4001044010030,雛菜,…………,…………,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,5,4001044010040,雛菜,"ん～
寒～……","唔～
好冷～……",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,17,4001044010080,雛菜,…………,…………,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,18,4001044010090,雛菜,暇だな～……,好闲啊～……,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,20,4001044010100,雛菜,ん～……？,嗯～……？,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,22,4001044010110,雛菜,"午前だけね～
もうとっくに終わった～……","只有早上那段时间～
老早就结束了～……",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,24,4001044010120,雛菜,"透先輩は追試で補習で
小糸ちゃんは塾の冬季講習通うって～","透学姐在准备补考
小糸在上补习班的冬季讲座～",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,25,4001044010130,雛菜,"しばらくあるみたいだから
この冬休みは暇だな～……","会持续一段时间呢
这个寒假好闲啊～……",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,28,4001044010140,雛菜,"円香先輩は帰ったんじゃない～？
知らないけど","圆香学姐已经回去了吧～？
我不清楚耶",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,29,4001044010150,雛菜,"雛菜もおやつ食べたら
帰ろうかな～……","雏菜也准备在吃完零食后
就回家～……",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,32,4001044010160,雛菜,…………？,…………？,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,35,4001044010190,雛菜,"それで
雛菜、何を手伝うの～？","所以
雏菜该怎么帮你呢～？",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,38,4001044010200,雛菜,"あは～
もう来年の話か～……","啊哈～
在说明年的事啊～……",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,41,4001044010210,雛菜,へ～……,这样～……,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,44,4001044010220,雛菜,"ん～
そうかも～？","嗯～
或许吧～？",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,47,4001044010230,雛菜,………………,………………,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,69,4001044010440,雛菜,"雛菜がやりたいことやっていいの～？
それならやろうかな～","雏菜只要做自己想做的事就好了对吧～？
那还是做吧～",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,70,4001044010450,雛菜,"あ、円香先輩にも手伝ってもらえば
いいんじゃない？","啊，让圆香学姐
也来帮忙吧？",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,73,4001044010480,雛菜,…………！,…………！,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,79,4001044010520,雛菜,"いえ～
大丈夫ですよ～","不～
没事哦～",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,81,4001044010540,雛菜,"あは～
ノクチルは学業優先なので～","啊哈～
因为noctchill要以学业为重～",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,86,4001044010590,雛菜,"あ～
そうですね～","啊～
这样啊～",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/オープニング-PROJECT.csv,89,4001044010610,雛菜,……,……,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,4,4001044020030,雛菜,…………,…………,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,8,4001044020070,雛菜,……プロデューサーですか～？,……制作人打来的吗～？,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,10,4001044020090,雛菜,そうですか～,这样啊～,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,13,4001044020120,雛菜,"いいんじゃないですか～？
せっかく集まったんだし","这样也行吧～？
难得人齐了",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,21,4001044020200,雛菜,"なんか、歌番組？　の練習で
来れなくなったって～","好像是因为歌唱节目的练习？
所以来不了了",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,26,4001044020250,雛菜,"……プロデューサーからは
どこまで聞いてるんですか～？","……你们听制作人
说了多少呢～？",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,30,4001044020290,雛菜,あ～,啊～,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,37,4001044020360,雛菜,うん～！,嗯～！,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,38,4001044020370,雛菜,円香先輩もやってくれるでしょ～？,圆香学姐也会帮忙对吧～？,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,53,4001044020470,雛菜,"２８３プロのチャンネルだったり
公式ツイスタを使っていいらしいです～","似乎会通过283事务所的频道
和官方Twista发布",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情/#２８３をひろげよう/第1話-MEETING.csv,61,4001044020550,雛菜,ま、年末ですしね～,嘛，毕竟是年末呢～,283活动剧情,#２８３をひろげよう,第1話-MEETING
