file,line_no,id,speaker,trans,category,arc,episode
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk055.csv,2,4901900550010,はるき,"哇，包装好可爱……！
是书的形状呢",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk055
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk055.csv,3,4901900550020,はるき,——咦？里面真的装着书呢,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk055
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk055.csv,5,4901900550030,はるき,"诶……好开心
我会认真读完的……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk055
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk056.csv,2,4901900560010,はるき,"哇，包装好可爱……！
是书的形状呢",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk056
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk056.csv,3,4901900560020,はるき,——咦？里面真的装着书呢,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk056
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk056.csv,5,4901900560030,はるき,"诶……好开心
我会认真读完的……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk056
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk056.csv,6,4901900560040,はるき,"是诗集呢……
画册也有好多——",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk056
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk056.csv,8,4901900560050,はるき,"真是，帮大忙了……！
哼哼～制作人真是太懂了……",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk056
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk056.csv,9,4901900560060,はるき,之后能和你聊聊感想吗？,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk056
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk056.csv,11,4901900560070,はるき,————我真的能收下这么多吗……,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk056
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,8,4001011110050,はるき,……啊、路加——,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,13,4001011110071,羽那＆はるき,辛苦啦──,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,15,4001011110090,はるき,哇……,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,16,4001011110100,はるき,"大家
都好可爱啊……！",283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,19,4001011110130,はるき,章鱼小香肠……,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,23,4001011110150,はるき,"明明光是身为偶像就已经很厉害了
大家都好多才多艺呢……！",283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,24,4001011110160,はるき,我也想做做看！,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
