file,line_no,id,speaker,text,category,arc,episode
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk055.csv,2,4901900550010,はるき,"わ、パッケージ可愛い……！
本の形なんですね",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk055
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk055.csv,3,4901900550020,はるき,──あれ？　本物の本も入ってます,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk055
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk055.csv,5,4901900550030,はるき,"え……うれしいです
じっくり読みますね……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk055
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk056.csv,2,4901900560010,はるき,"わ、パッケージ可愛い……！
本の形なんですね",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk056
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk056.csv,3,4901900560020,はるき,──あれ？　本物の本も入ってます,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk056
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk056.csv,5,4901900560030,はるき,"え……うれしいです
じっくり読みますね……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk056
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk056.csv,6,4901900560040,はるき,"詩集なんですね……
イラストもたくさん────",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk056
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk056.csv,8,4901900560050,はるき,"そういうの、すっごく助かります……！
ふふ～、本当にプロデューサーさんは……",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk056
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk056.csv,9,4901900560060,はるき,感想とか、またお話ししてもいいですか？,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk056
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk056.csv,11,4901900560070,はるき,────こんなにもらって、いいのかなぁ…………,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk056
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,8,4001011110050,はるき,……あ、ルカちゃん──,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,13,4001011110071,羽那＆はるき,お疲れ様──,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,15,4001011110090,はるき,わぁ……,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,16,4001011110100,はるき,"みなさん
とっても可愛いですねぇ……！",283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,19,4001011110130,はるき,タコさんウインナー……,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,23,4001011110150,はるき,"アイドルってだけでもすごいのに
みなさん多才なんですねぇ……！",283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,24,4001011110160,はるき,わたしも作ってみたいなぁ,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,26,4001011110180,はるき,ふふ～、うん……！,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,28,4001011110190,はるき,"わぁ……！
そうですね～",283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,29,4001011110200,はるき,"……みなさん忙しいから
難しいかもしれないですけど",283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,30,4001011110210,はるき,"また事務所全体で
ピクニックできるといいですよね",283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/THE（CoMETIK）EPISODE/序章 改 (1).csv,6,4001074010030,はるき,あ、あの……！,283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情/THE（CoMETIK）EPISODE/序章 改 (1).csv,7,4001074010040,はるき,リクエスト、してもいいかな……？,283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情/THE（CoMETIK）EPISODE/序章 改 (1).csv,9,4001074010050,はるき,"ルカちゃん、今のところ
もう一回……！",283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情/THE（CoMETIK）EPISODE/序章 改 (1).csv,12,4001074010071,羽那＆はるき,だめ？,283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情/THE（CoMETIK）EPISODE/序章 改 (1).csv,16,4001074010091,羽那＆はるき,──！,283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
