file,line_no,id,speaker,text,trans,category,arc,episode
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk055.csv,2,4901900550010,はるき,"わ、パッケージ可愛い……！
本の形なんですね","哇，包装好可爱……！
是书的形状呢",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk055
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk055.csv,3,4901900550020,はるき,──あれ？　本物の本も入ってます,——咦？里面真的装着书呢,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk055
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk055.csv,5,4901900550030,はるき,"え……うれしいです
じっくり読みますね……！","诶……好开心
我会认真读完的……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk055
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk056.csv,2,4901900560010,はるき,"わ、パッケージ可愛い……！
本の形なんですね","哇，包装好可爱……！
是书的形状呢",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk056
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk056.csv,3,4901900560020,はるき,──あれ？　本物の本も入ってます,——咦？里面真的装着书呢,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk056
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk056.csv,5,4901900560030,はるき,"え……うれしいです
じっくり読みますね……！","诶……好开心
我会认真读完的……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk056
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk056.csv,6,4901900560040,はるき,"詩集なんですね……
イラストもたくさん────","是诗集呢……
画册也有好多——",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk056
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk056.csv,8,4901900560050,はるき,"そういうの、すっごく助かります……！
ふふ～、本当にプロデューサーさんは……","真是，帮大忙了……！
哼哼～制作人真是太懂了……",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk056
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk056.csv,9,4901900560060,はるき,感想とか、またお話ししてもいいですか？,之后能和你聊聊感想吗？,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk056
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情hrk056.csv,11,4901900560070,はるき,────こんなにもらって、いいのかなぁ…………,————我真的能收下这么多吗……,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情hrk056
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,8,4001011110050,はるき,……あ、ルカちゃん──,……啊、路加——,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,13,4001011110071,羽那＆はるき,お疲れ様──,辛苦啦──,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,15,4001011110090,はるき,わぁ……,哇……,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,16,4001011110100,はるき,"みなさん
とっても可愛いですねぇ……！","大家
都好可爱啊……！",283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,19,4001011110130,はるき,タコさんウインナー……,章鱼小香肠……,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,23,4001011110150,はるき,"アイドルってだけでもすごいのに
みなさん多才なんですねぇ……！","明明光是身为偶像就已经很厉害了
大家都好多才多艺呢……！",283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,24,4001011110160,はるき,わたしも作ってみたいなぁ,我也想做做看！,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,26,4001011110180,はるき,ふふ～、うん……！,嘻嘻～，嗯……！,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,28,4001011110190,はるき,"わぁ……！
そうですね～","哇……！
说的是呢～",283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,29,4001011110200,はるき,"……みなさん忙しいから
難しいかもしれないですけど","……毕竟大家都很忙
想要让大家都尝到的话应该挺难的呢",283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/PiCNiC BASKET！/Exコミュ3いつかのピクニックの話.csv,30,4001011110210,はるき,"また事務所全体で
ピクニックできるといいですよね","之后如果事务所全体成员
能一起再去一次野餐就好了",283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情/THE（CoMETIK）EPISODE/序章 改 (1).csv,6,4001074010030,はるき,あ、あの……！,那，那个……！,283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情/THE（CoMETIK）EPISODE/序章 改 (1).csv,7,4001074010040,はるき,リクエスト、してもいいかな……？,我可以提个请求吗……？,283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情/THE（CoMETIK）EPISODE/序章 改 (1).csv,9,4001074010050,はるき,"ルカちゃん、今のところ
もう一回……！","路加，刚才的动作
再示范一次……！",283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情/THE（CoMETIK）EPISODE/序章 改 (1).csv,12,4001074010071,羽那＆はるき,だめ？,不行吗？,283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情/THE（CoMETIK）EPISODE/序章 改 (1).csv,16,4001074010091,羽那＆はるき,──！,,283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情/THE（CoMETIK）EPISODE/序章 改 (1).csv,19,4001074010100,はるき,……！,,283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情/THE（CoMETIK）EPISODE/序章 改 (1).csv,30,4001074010140,はるき,『グルーヴ』とかも近いですかね……？,接近“律动（groove）”之类的吗……？,283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情/THE（CoMETIK）EPISODE/序章 改 (1).csv,35,4001074010151,羽那＆はるき,はいっ,好的,283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情/THE（CoMETIK）EPISODE/第一话 改.csv,7,4001074020040,はるき,ふふ～……！,呵呵～……！,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情/THE（CoMETIK）EPISODE/第一话 改.csv,15,4001074020061,羽那＆はるき,ふふっ──！,呵呵──！,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情/THE（CoMETIK）EPISODE/第一话 改.csv,17,4001074020080,はるき,ね～……！,对啊～……！,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情/THE（CoMETIK）EPISODE/第一话 改.csv,18,4001074020090,はるき,"でも……『鈴木の部屋』
これで大丈夫なのかなぁ","不过……『铃木的房间』
就这样真的没问题吗",283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情/THE（CoMETIK）EPISODE/第一话 改.csv,20,4001074020110,はるき,"なんだか、ただただ
いつもの会話をしてるだけだなぁって……！","总感觉，
跟我们平时聊的话没什么区别……！",283活动剧情,THE（CoMETIK）EPISODE,第一话 改
