file,line_no,id,speaker,trans,category,arc,episode
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情灯织1.csv,3,4901900030010,灯織,"诶……谢谢
……是零食吗？",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情灯织1
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情灯织1.csv,5,4901900030020,灯織,"──把这当作今天的奖励
感觉工作也能更努力一些了",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情灯织1
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情灯织2.csv,3,4901900040010,灯織,"诶……谢谢
……是零食吗？",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情灯织2
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情灯织2.csv,6,4901900040020,灯織,"反而让制作人费心了
实在抱歉……",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情灯织2
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情灯织2.csv,8,4901900040030,灯織,"呵呵……
那我可以现在就打开看看吗？",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情灯织2
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情灯织2.csv,10,4901900040040,灯織,哇……有种红茶的香味……,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情灯织2
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情灯织2.csv,11,4901900040050,灯織,"这份饼干，我会一边回想着制作人的笑容
一边细细品尝的",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情灯织2
283活动剧情/5th Anniversary 当日スペシャルコミュ/5th Anniversary-illuminationSTARS.csv,5,4901041010040,灯織,制作人，谢谢,283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-illuminationSTARS
283活动剧情/5th Anniversary 当日スペシャルコミュ/5th Anniversary-illuminationSTARS.csv,6,4901041010050,灯織,"不是因为发生了什么而道谢的
只是想着托了制作人的福才有了今天的我——",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-illuminationSTARS
283活动剧情/5th Anniversary 当日スペシャルコミュ/5th Anniversary-illuminationSTARS.csv,7,4901041010060,灯織,"让什么都没有的我成为偶像
真的……非常感谢",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-illuminationSTARS
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,4,4001009010030,灯織,"——虽然夜晚的道路非常昏暗，
但是早些打开车灯能保护我们的安全",283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
