file,line_no,id,speaker,text,category,arc,episode
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情灯织1.csv,3,4901900030010,灯織,"えっ……ありがとうございます
……お菓子、ですか？",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情灯织1
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情灯织1.csv,5,4901900030020,灯織,"──今日はこれを楽しみに、
もっと仕事を頑張れそうです",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情灯织1
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情灯织2.csv,3,4901900040010,灯織,"えっ……ありがとうございます
……お菓子、ですか？",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情灯织2
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情灯织2.csv,6,4901900040020,灯織,"逆に気を遣わせてしまって
すみません……",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情灯织2
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情灯织2.csv,8,4901900040030,灯織,"ふふ……
それじゃあ、さっそく開けてみてもいいですか？",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情灯织2
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情灯织2.csv,10,4901900040040,灯織,わっ……紅茶のいい香り……,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情灯织2
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情灯织2.csv,11,4901900040050,灯織,"このクッキー、プロデューサーの笑顔を思い出しながら
大事にいただきますね",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情灯织2
283活动剧情/5th Anniversary 当日スペシャルコミュ/5th Anniversary-illuminationSTARS.csv,5,4901041010040,灯織,プロデューサー、ありがとうございます,283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-illuminationSTARS
283活动剧情/5th Anniversary 当日スペシャルコミュ/5th Anniversary-illuminationSTARS.csv,6,4901041010050,灯織,"特に何かあったわけではないです
ただ、プロデューサーのおかげで今があるのだと──",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-illuminationSTARS
283活动剧情/5th Anniversary 当日スペシャルコミュ/5th Anniversary-illuminationSTARS.csv,7,4901041010060,灯織,"何も持たない私をアイドルにしてくださって
本当に……感謝しているんですよ",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-illuminationSTARS
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,4,4001009010030,灯織,"──夜の道は大変暗いですが、
早めのライト点灯が、私たちの安全を支えてくれます",283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,5,4001009010040,灯織,ですから──,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,10,4001009010090,灯織,"──あなたの心と自転車に、
灯りを忘れないようにしてください",283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
