file,line_no,id,speaker,text,trans,category,arc,episode
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情灯织1.csv,3,4901900030010,灯織,"えっ……ありがとうございます
……お菓子、ですか？","诶……谢谢
……是零食吗？",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情灯织1
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情灯织1.csv,5,4901900030020,灯織,"──今日はこれを楽しみに、
もっと仕事を頑張れそうです","──把这当作今天的奖励
感觉工作也能更努力一些了",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情灯织1
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情灯织2.csv,3,4901900040010,灯織,"えっ……ありがとうございます
……お菓子、ですか？","诶……谢谢
……是零食吗？",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情灯织2
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情灯织2.csv,6,4901900040020,灯織,"逆に気を遣わせてしまって
すみません……","反而让制作人费心了
实在抱歉……",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情灯织2
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情灯织2.csv,8,4901900040030,灯織,"ふふ……
それじゃあ、さっそく開けてみてもいいですか？","呵呵……
那我可以现在就打开看看吗？",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情灯织2
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情灯织2.csv,10,4901900040040,灯織,わっ……紅茶のいい香り……,哇……有种红茶的香味……,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情灯织2
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情灯织2.csv,11,4901900040050,灯織,"このクッキー、プロデューサーの笑顔を思い出しながら
大事にいただきますね","这份饼干，我会一边回想着制作人的笑容
一边细细品尝的",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情灯织2
283活动剧情/5th Anniversary 当日スペシャルコミュ/5th Anniversary-illuminationSTARS.csv,5,4901041010040,灯織,プロデューサー、ありがとうございます,制作人，谢谢,283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-illuminationSTARS
283活动剧情/5th Anniversary 当日スペシャルコミュ/5th Anniversary-illuminationSTARS.csv,6,4901041010050,灯織,"特に何かあったわけではないです
ただ、プロデューサーのおかげで今があるのだと──","不是因为发生了什么而道谢的
只是想着托了制作人的福才有了今天的我——",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-illuminationSTARS
283活动剧情/5th Anniversary 当日スペシャルコミュ/5th Anniversary-illuminationSTARS.csv,7,4901041010060,灯織,"何も持たない私をアイドルにしてくださって
本当に……感謝しているんですよ","让什么都没有的我成为偶像
真的……非常感谢",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-illuminationSTARS
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,4,4001009010030,灯織,"──夜の道は大変暗いですが、
早めのライト点灯が、私たちの安全を支えてくれます","——虽然夜晚的道路非常昏暗，
但是早些打开车灯能保护我们的安全",283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,5,4001009010040,灯織,ですから──,所以——,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,10,4001009010090,灯織,"──あなたの心と自転車に、
灯りを忘れないようにしてください",——请不要忘记给你的心跟自行车开启灯光,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,11,4001009010100,灯織,ありがとうございました,非常感谢,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,25,4001009010230,灯織,"自転車は、スピードが出ていれば車と同じです
その自覚を持って、安全運転を心がけましょう","自行车速度快了会跟汽车一样危险
请多加注意，安全驾驶吧",283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,29,4001009010270,灯織,"えっ……！？
ふたりとも、何やってるの……！？","诶……！？
你们在做什么……！",283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,32,4001009010300,灯織,え──そんな,诶——这种事,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,33,4001009010310,灯織,ありがとう、ごめん──,谢谢你们，抱歉——,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,38,4001009010360,灯織,そっか……！,这样啊……！,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,39,4001009010370,灯織,"……うん。じゃあ……改めて……
ごめんじゃなくて、ありが──","……嗯。那么……重新说一次……
不是抱歉，谢——",283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,42,4001009010400,灯織,！,,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,43,4001009010410,灯織,そちらの、自転車の方！,那边骑自行车的那位！,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,44,4001009010420,灯織,"……すみません
歩いている方の近くでは、徐行をお願いします","……不好意思
在行人附近请放慢速度",283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
