file,line_no,id,speaker,trans,category,arc,episode
283活动剧情\#２８３をひろげよう\エンディング-REPLY PARTY.csv,41,4001044080250,千雪,"呵呵，
可能和你想的不太一样呢……",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,50,4001044010250,千雪,"呵呵……
我看见了",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,52,4001044010270,千雪,"回去后要吃不下
晚饭了哦——……？",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,55,4001044010300,千雪,"呵呵
我懂……",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,56,4001044010310,千雪,因为最近真的很冷啊,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,57,4001044010320,千雪,"……嗯
我也买一个吧",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,59,4001044010340,千雪,就当作是今天努力工作的奖励……！,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,60,4001044010350,千雪,"你好
我想买一个肉包子",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,62,4001044010370,千雪,你们今天是去了不同的工作吗？,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,64,4001044010390,千雪,"那也顺道给恋钟和咲耶……
————啊……",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,65,4001044010400,千雪,"对了
她们今天好像不在来着……？",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,67,4001044010420,千雪,"呵呵
她们很忙呢——……",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,68,4001044010430,千雪,"虽说年末年初稍微休息一下
也挺好的……",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,17,4001044020160,千雪,"那……
我进来了……？",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,23,4001044020220,千雪,嗯，应该是我当主持人的特备节目吧,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,24,4001044020230,千雪,"Straylight也会在节目上表演
应该是在为节目进行的练习吧",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,31,4001044020300,千雪,"嗯
我也是这么听说的……",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,32,4001044020310,千雪,"还有
“想去拍摄广播节目现场”",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,33,4001044020320,千雪,"似乎是树里当嘉宾的那期
节目组也已经答应了",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,55,4001044020490,千雪,"虽说不知道能不能帮上忙……
不过，感觉很好玩呢",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,56,4001044020500,千雪,"呵呵
要嗨起来咯——……！",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,65,4001044020590,千雪,我们一起来想想吧？,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,66,4001044020600,千雪,"让其他人也能参加这事
先摆在一边",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,87,4001044020680,千雪,"还能共享给制作人
这样他就能知道我们开会讨论过什么了",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第2話-[283PRO]MEETING bhd.csv,9,4001044030080,千雪,"呵呵
很可爱",283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情\#２８３をひろげよう\第2話-[283PRO]MEETING bhd.csv,15,4001044030140,千雪,"要是看到视频或Twist的人
也能打上它就好了",283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情\#２８３をひろげよう\第4話-[283PRO]RADIO bhd.csv,8,4001044050061,樹里＆千雪,…………！,283活动剧情,#２８３をひろげよう,第4話-[283PRO]RADIO bhd
283活动剧情\#２８３をひろげよう\第4話-[283PRO]RADIO bhd.csv,9,4001044050062,樹里＆千雪,…………,283活动剧情,#２８３をひろげよう,第4話-[283PRO]RADIO bhd
