file,line_no,id,speaker,text,category,arc,episode
283活动剧情\#２８３をひろげよう\エンディング-REPLY PARTY.csv,41,4001044080250,千雪,"ふふっ、
思ってるのとはちょっと違うかもしれないけど……",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,50,4001044010250,千雪,"ふふっ……
見ちゃった",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,52,4001044010270,千雪,"帰ったらお夕飯、
食べられなくなっちゃうぞー……？",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,55,4001044010300,千雪,"ふふっ
わかるなぁ……",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,56,4001044010310,千雪,最近、本当に冷えるんだもん,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,57,4001044010320,千雪,"……うん
やっぱり私も買っちゃおう",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,59,4001044010340,千雪,今日のお仕事、頑張ったご褒美……！,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,60,4001044010350,千雪,"すみませーん
豚まん、ひとついいですか？",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,62,4001044010370,千雪,今日は別々のお仕事だったの？,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,64,4001044010390,千雪,"それなら恋鐘ちゃんと咲耶ちゃんにも……
────あ……",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,65,4001044010400,千雪,"そっか
今日、いないんだっけ……？",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,67,4001044010420,千雪,"ふふ
忙しいんだねー……",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,68,4001044010430,千雪,"年末年始、少しでもお休みが
取れるといいけど……",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,17,4001044020160,千雪,"えっと……
お邪魔します……？",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,23,4001044020220,千雪,うん、私が司会をさせてもらう特番じゃないかな,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,24,4001044020230,千雪,"ストレイライトがパフォーマンスしてくれるから
その練習の方に行ってるのかも",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,31,4001044020300,千雪,"うん
私もそんな感じで……",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,32,4001044020310,千雪,"ラジオの方にも
撮影に来たい、って",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,33,4001044020320,千雪,"樹里ちゃんがゲストに来てくれる回で
番組にも許可が取れてるみたい",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,55,4001044020490,千雪,"お役に立てるかはわからないけど……
でも、なんだか楽しそう",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,56,4001044020500,千雪,"ふふっ
盛り上げちゃうぞー……！",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,65,4001044020590,千雪,ちょっと、考えてみましょう？,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,66,4001044020600,千雪,"他のみんなにも参加してもらえそうなものは
後から相談してみてもいいし",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,87,4001044020680,千雪,"プロデューサーさんにも共有したら
どんな会議だったかわかっていいかもしれないね",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第2話-[283PRO]MEETING bhd.csv,9,4001044030080,千雪,"ふふっ
とっても可愛い",283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情\#２８３をひろげよう\第2話-[283PRO]MEETING bhd.csv,15,4001044030140,千雪,"動画とかツイスタを見た人も
使ってくれたら嬉しいね",283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情\#２８３をひろげよう\第4話-[283PRO]RADIO bhd.csv,8,4001044050061,樹里＆千雪,…………！,283活动剧情,#２８３をひろげよう,第4話-[283PRO]RADIO bhd
283活动剧情\#２８３をひろげよう\第4話-[283PRO]RADIO bhd.csv,9,4001044050062,樹里＆千雪,…………,283活动剧情,#２８３をひろげよう,第4話-[283PRO]RADIO bhd
283活动剧情\#２８３をひろげよう\第4話-[283PRO]RADIO bhd.csv,18,4001044050140,千雪,──『リスナーの皆さん、おやすみなさい』,283活动剧情,#２８３をひろげよう,第4話-[283PRO]RADIO bhd
283活动剧情\#２８３をひろげよう\第4話-[283PRO]RADIO bhd.csv,19,4001044050150,千雪,"『ベッドルームに立てこもるための魔法の電波
パジャマ・ジャム・ジャミング！』",283活动剧情,#２８３をひろげよう,第4話-[283PRO]RADIO bhd
