file,line_no,id,speaker,text,trans,category,arc,episode
283活动剧情\#２８３をひろげよう\エンディング-REPLY PARTY.csv,41,4001044080250,千雪,"ふふっ、
思ってるのとはちょっと違うかもしれないけど……","呵呵，
可能和你想的不太一样呢……",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,50,4001044010250,千雪,"ふふっ……
見ちゃった","呵呵……
我看见了",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,52,4001044010270,千雪,"帰ったらお夕飯、
食べられなくなっちゃうぞー……？","回去后要吃不下
晚饭了哦——……？",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,55,4001044010300,千雪,"ふふっ
わかるなぁ……","呵呵
我懂……",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,56,4001044010310,千雪,最近、本当に冷えるんだもん,因为最近真的很冷啊,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,57,4001044010320,千雪,"……うん
やっぱり私も買っちゃおう","……嗯
我也买一个吧",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,59,4001044010340,千雪,今日のお仕事、頑張ったご褒美……！,就当作是今天努力工作的奖励……！,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,60,4001044010350,千雪,"すみませーん
豚まん、ひとついいですか？","你好
我想买一个肉包子",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,62,4001044010370,千雪,今日は別々のお仕事だったの？,你们今天是去了不同的工作吗？,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,64,4001044010390,千雪,"それなら恋鐘ちゃんと咲耶ちゃんにも……
────あ……","那也顺道给恋钟和咲耶……
————啊……",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,65,4001044010400,千雪,"そっか
今日、いないんだっけ……？","对了
她们今天好像不在来着……？",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,67,4001044010420,千雪,"ふふ
忙しいんだねー……","呵呵
她们很忙呢——……",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,68,4001044010430,千雪,"年末年始、少しでもお休みが
取れるといいけど……","虽说年末年初稍微休息一下
也挺好的……",283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,17,4001044020160,千雪,"えっと……
お邪魔します……？","那……
我进来了……？",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,23,4001044020220,千雪,うん、私が司会をさせてもらう特番じゃないかな,嗯，应该是我当主持人的特备节目吧,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,24,4001044020230,千雪,"ストレイライトがパフォーマンスしてくれるから
その練習の方に行ってるのかも","Straylight也会在节目上表演
应该是在为节目进行的练习吧",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,31,4001044020300,千雪,"うん
私もそんな感じで……","嗯
我也是这么听说的……",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,32,4001044020310,千雪,"ラジオの方にも
撮影に来たい、って","还有
“想去拍摄广播节目现场”",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,33,4001044020320,千雪,"樹里ちゃんがゲストに来てくれる回で
番組にも許可が取れてるみたい","似乎是树里当嘉宾的那期
节目组也已经答应了",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,55,4001044020490,千雪,"お役に立てるかはわからないけど……
でも、なんだか楽しそう","虽说不知道能不能帮上忙……
不过，感觉很好玩呢",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,56,4001044020500,千雪,"ふふっ
盛り上げちゃうぞー……！","呵呵
要嗨起来咯——……！",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,65,4001044020590,千雪,ちょっと、考えてみましょう？,我们一起来想想吧？,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,66,4001044020600,千雪,"他のみんなにも参加してもらえそうなものは
後から相談してみてもいいし","让其他人也能参加这事
先摆在一边",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,87,4001044020680,千雪,"プロデューサーさんにも共有したら
どんな会議だったかわかっていいかもしれないね","还能共享给制作人
这样他就能知道我们开会讨论过什么了",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第2話-[283PRO]MEETING bhd.csv,9,4001044030080,千雪,"ふふっ
とっても可愛い","呵呵
很可爱",283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情\#２８３をひろげよう\第2話-[283PRO]MEETING bhd.csv,15,4001044030140,千雪,"動画とかツイスタを見た人も
使ってくれたら嬉しいね","要是看到视频或Twist的人
也能打上它就好了",283活动剧情,#２８３をひろげよう,第2話-[283PRO]MEETING bhd
283活动剧情\#２８３をひろげよう\第4話-[283PRO]RADIO bhd.csv,8,4001044050061,樹里＆千雪,…………！,…………！,283活动剧情,#２８３をひろげよう,第4話-[283PRO]RADIO bhd
283活动剧情\#２８３をひろげよう\第4話-[283PRO]RADIO bhd.csv,9,4001044050062,樹里＆千雪,…………,…………,283活动剧情,#２８３をひろげよう,第4話-[283PRO]RADIO bhd
283活动剧情\#２８３をひろげよう\第4話-[283PRO]RADIO bhd.csv,18,4001044050140,千雪,──『リスナーの皆さん、おやすみなさい』,——“各位听众，晚安”,283活动剧情,#２８３をひろげよう,第4話-[283PRO]RADIO bhd
283活动剧情\#２８３をひろげよう\第4話-[283PRO]RADIO bhd.csv,19,4001044050150,千雪,"『ベッドルームに立てこもるための魔法の電波
パジャマ・ジャム・ジャミング！』","“欢迎收听让人在卧室闭门不出的魔法电波
Pyjamas・Jam・Jamming！”",283活动剧情,#２８３をひろげよう,第4話-[283PRO]RADIO bhd
283活动剧情\#２８３をひろげよう\第4話-[283PRO]RADIO bhd.csv,20,4001044050160,千雪,"年の瀬、今年最後の放送となりました
もうお休みに入ってる人も多いのかな……？","“时到年末，本次是今年最后一期节目
很多人已经开始放假了吧……？”",283活动剧情,#２８３をひろげよう,第4話-[283PRO]RADIO bhd
283活动剧情\#２８３をひろげよう\第4話-[283PRO]RADIO bhd.csv,21,4001044050170,千雪,"もしかしたら帰省する車や電車の中で聞いてくれる方も
いらっしゃるんじゃないかなぁって思いながら","边想着说不定也有在回老家的路上
或者在电车里收听的听众",283活动剧情,#２８３をひろげよう,第4話-[283PRO]RADIO bhd
283活动剧情\#２８３をひろげよう\第4話-[283PRO]RADIO bhd.csv,22,4001044050180,千雪,収録スタジオまでやってきました,边来到了录音棚,283活动剧情,#２８３をひろげよう,第4話-[283PRO]RADIO bhd
283活动剧情\#２８３をひろげよう\第4話-[283PRO]RADIO bhd.csv,23,4001044050190,千雪,"さて、それじゃ
今年最後のゲストをお迎えしましょうね……！","那么，现在
来欢迎今年最后的嘉宾入场吧……！",283活动剧情,#２８３をひろげよう,第4話-[283PRO]RADIO bhd
283活动剧情\#２８３をひろげよう\第4話-[283PRO]RADIO bhd.csv,24,4001044050200,千雪,"ふふっ
でも、今日は一緒にここ来たんです","呵呵
不过，我们今天是一起过来的",283活动剧情,#２８３をひろげよう,第4話-[283PRO]RADIO bhd
283活动剧情\#２８３をひろげよう\第4話-[283PRO]RADIO bhd.csv,25,4001044050210,千雪,"だから、ゲストなんて言うの、
なんだか不思議だなぁ……","所以，说是“嘉宾”，
还有点不可思议呢……",283活动剧情,#２８３をひろげよう,第4話-[283PRO]RADIO bhd
283活动剧情\#２８３をひろげよう\第4話-[283PRO]RADIO bhd.csv,26,4001044050220,千雪,"お知らせの後、放課後クライマックスガールズ
西城樹里さんの登場です……！","资讯后，放课后Climax Girls的
西城树里即将登场……！",283活动剧情,#２８３をひろげよう,第4話-[283PRO]RADIO bhd
283活动剧情\#２８３をひろげよう\第4話-[283PRO]RADIO bhd.csv,33,4001044050290,千雪,──それではお待ちかね,——让各位久等了,283活动剧情,#２８３をひろげよう,第4話-[283PRO]RADIO bhd
283活动剧情\#２８３をひろげよう\第4話-[283PRO]RADIO bhd.csv,34,4001044050300,千雪,"本日のゲスト
放課後クライマックスガールズ、西城樹里さんです","这位是今天的嘉宾
放课后Climax Girls的西城树里",283活动剧情,#２８３をひろげよう,第4話-[283PRO]RADIO bhd
283活动剧情\#２８３をひろげよう\第4話-[283PRO]RADIO bhd.csv,36,4001044050320,千雪,"ふふっ
そんなに緊張しなくてもいいのに","呵呵
别那么紧张，放轻松点",283活动剧情,#２８３をひろげよう,第4話-[283PRO]RADIO bhd
