file,line_no,id,speaker,trans,category,arc,episode
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情035.csv,3,4901900350010,冬優子,融化……？,283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情035
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情035.csv,4,4901900350020,冬優子,"啊！？冰淇淋蛋糕……！？
这么冷的天吃冰激凌——你是不是傻了……！?",283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情035
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情035.csv,5,4901900350030,冬優子,"────吃倒是照样会吃……！
……谢谢！",283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情035
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情036.csv,3,4901900360010,冬優子,融化……？,283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情036
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情036.csv,4,4901900360020,冬優子,"啊！？冰淇淋蛋糕……！？
这么冷的天吃冰激凌——你是不是傻了……！?",283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情036
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情036.csv,5,4901900360030,冬優子,"────吃倒是照样会吃……！
……谢谢！",283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情036
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情036.csv,8,4901900360040,冬優子,……好冷,283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情036
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情036.csv,10,4901900360050,冬優子,……不过，真好吃呢,283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情036
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-ストレイライト.csv,5,4901041050040,冬優子,……………………,283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ストレイライト
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-ストレイライト.csv,6,4901041050050,冬優子,"呵呵，没怎么啊
就是看你反应很有趣所以只是单纯在看着而已",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ストレイライト
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-ストレイライト.csv,7,4901041050060,冬優子,"想着今后是不是也会一直看着你这张脸呢——
这样",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ストレイライト
283活动剧情\Belles of three.Stray match\一.csv,4,4001063020010,冬優子,……B小町……,283活动剧情,Belles of three.Stray match,一
283活动剧情\Belles of three.Stray match\一.csv,18,4001063020080,冬優子,……我倒是靠“爱”这个名字想起来了,283活动剧情,Belles of three.Stray match,一
283活动剧情\Belles of three.Stray match\一.csv,19,4001063020090,冬優子,B小町，我在小时候有看到过,283活动剧情,Belles of three.Stray match,一
283活动剧情\Belles of three.Stray match\一.csv,20,4001063020100,冬優子,她们是不是经常出演电视节目来着？,283活动剧情,Belles of three.Stray match,一
283活动剧情\Belles of three.Stray match\一.csv,27,4001063020130,冬優子,"……有马加奈是童星出身……
混迹业界好多年了呢",283活动剧情,Belles of three.Stray match,一
283活动剧情\Belles of three.Stray match\一.csv,38,4001063020180,冬優子,"也没你说得那么擅长啦……
嗯—……不过靠排除法的话也只有冬优了",283活动剧情,Belles of three.Stray match,一
283活动剧情\Belles of three.Stray match\一.csv,52,4001063020250,冬優子,——怎么可能,283活动剧情,Belles of three.Stray match,一
283活动剧情\Belles of three.Stray match\一.csv,53,4001063020260,冬優子,"我们全都会全力争胜的
对吧？",283活动剧情,Belles of three.Stray match,一
283活动剧情\Belles of three.Stray match\二.csv,5,4001063030010,冬優子,"冬优为了今天一直在努力学习……！
一定会加油的！",283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,21,4001063030070,冬優子,"啊冬优也知道正确答案的说……！
抢答也要加油了呢……！",283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,25,4001063030080,冬優子,（到目前为止都还是平分秋色……）,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,27,4001063030100,冬優子,"（冬优容易被抢占先机的是百科类，
而这孩子不擅长的是体育类……）",283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,30,4001063030120,冬優子,……——体育类的40分题！,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,31,4001063030130,冬優子,（还有3个问题。必须得在这里拉开差距……！）,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,35,4001063030140,冬優子,"（——我不造啊……！——但是，
总不能把二选一这种很大概率赌对的机会让给对方）",283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,36,4001063030150,冬優子,（拼运气明明是交给了爱依才对啊……！）,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,37,4001063030160,冬優子,——正确！,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,39,4001063030170,冬優子,啊哈哈，多谢夸奖♡,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,41,4001063030180,冬優子,"（要拉开差距的话就选50分题——
剩下的是体育和科学啊……）",283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,42,4001063030190,冬優子,"（要选的话肯定是体育……
但是40分的就已经那么难了，50分，冬优能答得上来吗……？）",283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,43,4001063030200,冬優子,"（话虽如此如果最后2问选择分数低的问题的话，
也太扫兴了一点吧——）",283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,44,4001063030210,冬優子,（啊啊真是的早知道就学得更努力一点了……！）,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,45,4001063030220,冬優子,我选体育类的50分题！,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,47,4001063030221,ルビー＆冬優子,诶诶……！？,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,50,4001063030240,冬優子,打雪仗原来是有国际规则的啊……！,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,51,4001063030250,冬優子,"（……果然不行吗
冬优还想着能杜绝反超的可能性就好了）",283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,54,4001063030251,ルビー＆冬優子,诶诶……！？,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,55,4001063030260,冬優子,"（晶系，硬度……
也就是矿物咯，蓝色的宝石……？）",283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,61,4001063030290,冬優子,……！,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,66,4001063030320,冬優子,"好厉害啊
恭喜你，露比酱",283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,70,4001063030350,冬優子,对不起哦朝日……,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\四.csv,11,4001063050100,冬優子,冬优会努力给你们加油的！,283活动剧情,Belles of three.Stray match,四
283活动剧情\Belles of three.Stray match\四.csv,19,4001063050170,冬優子,……会赢的，就这么说也有点不负责任——,283活动剧情,Belles of three.Stray match,四
283活动剧情\Belles of three.Stray match\四.csv,20,4001063050180,冬優子,"反正是拼运气。与其担心自己能不能赢，
相信“自己能行！”反而能更受幸运女神的青睐哦",283活动剧情,Belles of three.Stray match,四
283活动剧情\Belles of three.Stray match\四.csv,21,4001063050190,冬優子,就像平时的爱依一样！对吧？,283活动剧情,Belles of three.Stray match,四
283活动剧情\Belles of three.Stray match\四.csv,28,4001063050250,冬優子,如果为难的话，好像也有刺身可以用哦……！,283活动剧情,Belles of three.Stray match,四
283活动剧情\Belles of three.Stray match\四.csv,52,4001063050480,冬優子,"！
铃铛在响哦！ 是爱依的钓竿！",283活动剧情,Belles of three.Stray match,四
283活动剧情\Belles of three.Stray match\四.csv,55,4001063050510,冬優子,危险……！,283活动剧情,Belles of three.Stray match,四
283活动剧情\Belles of three.Stray match\四.csv,65,4001063050610,冬優子,还差，一点……！,283活动剧情,Belles of three.Stray match,四
283活动剧情\Belles of three.Stray match\四.csv,75,4001063050700,冬優子,"——呵呵
这样的话，就需要再比一回合",283活动剧情,Belles of three.Stray match,四
283活动剧情\Belles of three.Stray match\终.csv,4,4001063060020,冬優子,这回就会分出胜负了吧,283活动剧情,Belles of three.Stray match,终
283活动剧情\Belles of three.Stray match\终.csv,12,4001063060050,冬優子,"在场的各位！
感谢大家今天能够前来♡",283活动剧情,Belles of three.Stray match,终
283活动剧情\Belles of three.Stray match\终.csv,33,4001063060250,冬優子,"去掉了主持环节——
把重心放在利用表演炒热气氛上了……！",283活动剧情,Belles of three.Stray match,终
283活动剧情\Belles of three.Stray match\终.csv,35,4001063060270,冬優子,——嗯,283活动剧情,Belles of three.Stray match,终
283活动剧情\Belles of three.Stray match\终.csv,36,4001063060280,冬優子,B小町的表演也很精彩……但是……,283活动剧情,Belles of three.Stray match,终
283活动剧情\Belles of three.Stray match\终.csv,39,4001063060310,冬優子,各位……B小町的表演，怎么样呀……！？,283活动剧情,Belles of three.Stray match,终
283活动剧情\Belles of three.Stray match\终.csv,40,4001063060320,冬優子,"——那么，接下来
又回到迷光的时间了哦！",283活动剧情,Belles of three.Stray match,终
283活动剧情\Belles of three.Stray match\终.csv,46,4001063060350,冬優子,"没事，你才是
有这么多人要打招呼",283活动剧情,Belles of three.Stray match,终
283活动剧情\Belles of three.Stray match\终.csv,47,4001063060360,冬優子,"而且，那两个人
好像还在吹风",283活动剧情,Belles of three.Stray match,终
283活动剧情\Belles of three.Stray match\终.csv,61,4001063060480,冬優子,谁知道？,283活动剧情,Belles of three.Stray match,终
283活动剧情\Detective×Murder\special_communications_490103202.csv,25,4901032020160,冬優子,"——……弟子先生
如果可以的话，能陪我做个小测试吗？",283活动剧情,Detective×Murder,special_communications_490103202
283活动剧情\Detective×Murder\special_communications_490103202.csv,27,4901032020170,冬優子,"是的
……嘛，只是个小小的游戏而已♡",283活动剧情,Detective×Murder,special_communications_490103202
283活动剧情\Detective×Murder\special_communications_490103202.csv,29,4901032020180,冬優子,"每天都会增加到原本的两倍的水藻
被放进了一个池塘",283活动剧情,Detective×Murder,special_communications_490103202
283活动剧情\Detective×Murder\special_communications_490103202.csv,30,4901032020190,冬優子,"如果过了30天，池塘就会被水藻完全覆盖，
那么水藻会在多少天后覆盖池塘的一半呢？",283活动剧情,Detective×Murder,special_communications_490103202
283活动剧情\Detective×Murder\special_communications_490103202.csv,34,4901032020200,冬優子,"……
答错了……",283活动剧情,Detective×Murder,special_communications_490103202
283活动剧情\Detective×Murder\special_communications_490103202.csv,35,4901032020210,冬優子,水藻每天都会增加到原本的两倍哦……？,283活动剧情,Detective×Murder,special_communications_490103202
283活动剧情\Detective×Murder\special_communications_490103202.csv,36,4901032020220,冬優子,很遗憾……,283活动剧情,Detective×Murder,special_communications_490103202
283活动剧情\Detective×Murder\special_communications_490103202.csv,37,4901032020230,冬優子,"您刚才的答案，
听起来就像只是说了个很像那么回事的数字而已……",283活动剧情,Detective×Murder,special_communications_490103202
283活动剧情\Detective×Murder\special_communications_490103202.csv,38,4901032020240,冬優子,答对了！,283活动剧情,Detective×Murder,special_communications_490103202
283活动剧情\Detective×Murder\special_communications_490103202.csv,39,4901032020250,冬優子,是不是有点太简单了呢……？,283活动剧情,Detective×Murder,special_communications_490103202
283活动剧情\Detective×Murder\special_communications_490103205.csv,8,4901032050070,冬優子,兴、兴奋吗……,283活动剧情,Detective×Murder,special_communications_490103205
283活动剧情\Detective×Murder\special_communications_490103205.csv,9,4901032050080,冬優子,"……嗯
总之，我觉得对方是认真的",283活动剧情,Detective×Murder,special_communications_490103205
283活动剧情\Detective×Murder\special_communications_490103207.csv,15,4901032070130,冬優子,"对不起——……！
有没有人能帮我一起来写行动表呢——？",283活动剧情,Detective×Murder,special_communications_490103207
283活动剧情\Detective×Murder\special_communications_490103211.csv,4,4901032110020,冬優子,"还有冬优、小透、美琴小姐……
这七个人吧",283活动剧情,Detective×Murder,special_communications_490103211
283活动剧情\Detective×Murder\special_communications_490103211.csv,24,4901032110200,冬優子,"嗯嗯——……！
冬优也可以插几句吗……！？",283活动剧情,Detective×Murder,special_communications_490103211
283活动剧情\Detective×Murder\special_communications_490103211.csv,26,4901032110210,冬優子,"是的
那个时候，冬优正在洗澡……",283活动剧情,Detective×Murder,special_communications_490103211
283活动剧情\Detective×Murder\special_communications_490103211.csv,28,4901032110230,冬優子,嗯,283活动剧情,Detective×Murder,special_communications_490103211
283活动剧情\Detective×Murder\【２日目】14_36-あさひ・冬優子・愛依.csv,6,4901032180040,冬優子,小爱依你也知道那是不可能的吧……？,283活动剧情,Detective×Murder,【２日目】14_36-あさひ・冬優子・愛依
283活动剧情\Detective×Murder\【２日目】14_36-あさひ・冬優子・愛依.csv,10,4901032180060,冬優子,冬优我们正在这里梳理视频,283活动剧情,Detective×Murder,【２日目】14_36-あさひ・冬優子・愛依
283活动剧情\Detective×Murder\【２日目】14_36-あさひ・冬優子・愛依.csv,11,4901032180070,冬優子,然后，小日花就给了我们这张图片……,283活动剧情,Detective×Murder,【２日目】14_36-あさひ・冬優子・愛依
283活动剧情\Detective×Murder\【２日目】14_36-あさひ・冬優子・愛依.csv,13,4901032180090,冬優子,……所以，我们才在询问实情——……,283活动剧情,Detective×Murder,【２日目】14_36-あさひ・冬優子・愛依
283活动剧情\Detective×Murder\【２日目】14_36-あさひ・冬優子・愛依.csv,23,4901032180140,冬優子,在空白的20分钟里，小爱依到底做了些什么呢,283活动剧情,Detective×Murder,【２日目】14_36-あさひ・冬優子・愛依
283活动剧情\Detective×Murder\【２日目】14_36-あさひ・冬優子・愛依.csv,24,4901032180150,冬優子,"——……然后，我们也想询问一下弟子先生
这串钥匙是否是“A”先生的物品",283活动剧情,Detective×Murder,【２日目】14_36-あさひ・冬優子・愛依
283活动剧情\Detective×Murder\【２日目】14_36-あさひ・冬優子・愛依.csv,34,4901032180220,冬優子,……小爱依没有杀人,283活动剧情,Detective×Murder,【２日目】14_36-あさひ・冬優子・愛依
283活动剧情\Detective×Murder\【２日目】14_36-あさひ・冬優子・愛依.csv,35,4901032180230,冬優子,"但是，你去了“A”的房间吧……？
能不能至少告诉我们一下，你看见了什么呢……",283活动剧情,Detective×Murder,【２日目】14_36-あさひ・冬優子・愛依
283活动剧情\Detective×Murder\【２日目】14_36-あさひ・冬優子・愛依.csv,37,4901032180250,冬優子,小爱依……——,283活动剧情,Detective×Murder,【２日目】14_36-あさひ・冬優子・愛依
283活动剧情\Detective×Murder\【２日目】14_36-あさひ・冬優子・愛依.csv,48,4901032180310,冬優子,……去房间的目的是？,283活动剧情,Detective×Murder,【２日目】14_36-あさひ・冬優子・愛依
283活动剧情\Detective×Murder\【２日目】14_36-あさひ・冬優子・愛依.csv,58,4901032180400,冬優子,嗯，然后呢？,283活动剧情,Detective×Murder,【２日目】14_36-あさひ・冬優子・愛依
283活动剧情\Detective×Murder\【２日目】14_36-あさひ・冬優子・愛依.csv,63,4901032180450,冬優子,你是怎么拿到钥匙的呢？,283活动剧情,Detective×Murder,【２日目】14_36-あさひ・冬優子・愛依
283活动剧情\Detective×Murder\【２日目】14_36-あさひ・冬優子・愛依.csv,66,4901032180480,冬優子,"……唔……，小爱依……！
那样我们是没办法保护你到最后的……！",283活动剧情,Detective×Murder,【２日目】14_36-あさひ・冬優子・愛依
