file,line_no,id,speaker,text,category,arc,episode
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情035.csv,3,4901900350010,冬優子,溶ける……？,283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情035
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情035.csv,4,4901900350020,冬優子,"はあ！？　アイスケーキ……！？
この寒いのにアイスって──バカじゃないの……！？",283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情035
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情035.csv,5,4901900350030,冬優子,"────食べるけど……！
……ありがと！",283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情035
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情036.csv,3,4901900360010,冬優子,溶ける……？,283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情036
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情036.csv,4,4901900360020,冬優子,"はあ！？　アイスケーキ……！？
この寒いのにアイスって──バカじゃないの……！？",283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情036
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情036.csv,5,4901900360030,冬優子,"────食べるけど……！
……ありがと！",283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情036
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情036.csv,8,4901900360040,冬優子,……冷たい,283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情036
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情036.csv,10,4901900360050,冬優子,……でも、美味しいわよ,283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情036
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-ストレイライト.csv,5,4901041050040,冬優子,……………………,283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ストレイライト
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-ストレイライト.csv,6,4901041050050,冬優子,"ふふっ、別に？
あんたの反応が面白いから見てただけ",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ストレイライト
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-ストレイライト.csv,7,4901041050060,冬優子,"この顔をこれからも
ずっと見続けていくのかーって思って",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ストレイライト
283活动剧情\Belles of three.Stray match\一.csv,4,4001063020010,冬優子,……Ｂ小町……,283活动剧情,Belles of three.Stray match,一
283活动剧情\Belles of three.Stray match\一.csv,18,4001063020080,冬優子,……『アイ』で思い出した,283活动剧情,Belles of three.Stray match,一
283活动剧情\Belles of three.Stray match\一.csv,19,4001063020090,冬優子,Ｂ小町、子どもの頃に見てたわ,283活动剧情,Belles of three.Stray match,一
283活动剧情\Belles of three.Stray match\一.csv,20,4001063020100,冬優子,テレビとかよく出てたわよね？,283活动剧情,Belles of three.Stray match,一
283活动剧情\Belles of three.Stray match\一.csv,27,4001063020130,冬優子,"……有馬かなは元子役……
芸歴が長いのね",283活动剧情,Belles of three.Stray match,一
283活动剧情\Belles of three.Stray match\一.csv,38,4001063020180,冬優子,"別に得意ではないけど……
んー……まぁ消去法で考えたらふゆか……",283活动剧情,Belles of three.Stray match,一
283活动剧情\Belles of three.Stray match\一.csv,52,4001063020250,冬優子,──まさか,283活动剧情,Belles of three.Stray match,一
283活动剧情\Belles of three.Stray match\一.csv,53,4001063020260,冬優子,"どっちも全力よ
でしょ？",283活动剧情,Belles of three.Stray match,一
283活动剧情\Belles of three.Stray match\二.csv,5,4001063030010,冬優子,"今日のために勉強してきました……！
頑張ります！",283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,21,4001063030070,冬優子,"あーんわかってたのに……！
早押しも頑張らなきゃですね……！",283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,25,4001063030080,冬優子,（ここまでほぼ互角……）,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,27,4001063030100,冬優子,"（ふゆが取られがちだったのは雑学、
逆にこの子が取れてないのはスポーツ……）",283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,30,4001063030120,冬優子,……──スポーツの40で！,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,31,4001063030130,冬優子,（あと３問。ここで差をつけないと……！）,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,35,4001063030140,冬優子,"（──わっかんない……！　──けど、
二択なんて勝率の高い賭けを譲るわけにもいかない）",283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,36,4001063030150,冬優子,（運勝負は愛依の担当だってのに……！）,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,37,4001063030160,冬優子,──○！,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,39,4001063030170,冬優子,あははっ、ありがとうございます♡,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,41,4001063030180,冬優子,"（突き放すなら50点問題──
残りはスポーツと学問か……）",283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,42,4001063030190,冬優子,"（選ぶとしたらスポーツだけど……
40であれなのに、50、答えられる……？）",283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,43,4001063030200,冬優子,"（とはいえラスト２問で点数低いの選ぶとか、
盛り上がり的にありえないし──）",283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,44,4001063030210,冬優子,（ああもうもっとちゃんと勉強してくればよかった……！）,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,45,4001063030220,冬優子,スポーツの50でお願いします！,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,47,4001063030221,ルビー＆冬優子,ええっ……！？,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,50,4001063030240,冬優子,雪合戦って国際ルールがあるんですね……！,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,51,4001063030250,冬優子,"（……やっぱダメか
逆転の可能性、潰しておきたかったけど）",283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,54,4001063030251,ルビー＆冬優子,ええっ……！？,283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,55,4001063030260,冬優子,"（結晶、硬度……
つまり鉱物ってことよね、青い宝石……？）",283活动剧情,Belles of three.Stray match,二
283活动剧情\Belles of three.Stray match\二.csv,61,4001063030290,冬優子,……！,283活动剧情,Belles of three.Stray match,二
