file,line_no,id,speaker,text,trans,category,arc,episode
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情035.csv,3,4901900350010,冬優子,溶ける……？,融化……？,283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情035
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情035.csv,4,4901900350020,冬優子,"はあ！？　アイスケーキ……！？
この寒いのにアイスって──バカじゃないの……！？","啊！？冰淇淋蛋糕……！？
这么冷的天吃冰激凌——你是不是傻了……！?",283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情035
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情035.csv,5,4901900350030,冬優子,"────食べるけど……！
……ありがと！","────吃倒是照样会吃……！
……谢谢！",283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情035
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情036.csv,3,4901900360010,冬優子,溶ける……？,融化……？,283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情036
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情036.csv,4,4901900360020,冬優子,"はあ！？　アイスケーキ……！？
この寒いのにアイスって──バカじゃないの……！？","啊！？冰淇淋蛋糕……！？
这么冷的天吃冰激凌——你是不是傻了……！?",283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情036
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情036.csv,5,4901900360030,冬優子,"────食べるけど……！
……ありがと！","────吃倒是照样会吃……！
……谢谢！",283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情036
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情036.csv,8,4901900360040,冬優子,……冷たい,……好冷,283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情036
283活动剧情\2025ホワイトデー スペシャルコミュ\25冬优子白情036.csv,10,4901900360050,冬優子,……でも、美味しいわよ,……不过，真好吃呢,283活动剧情,2025ホワイトデー スペシャルコミュ,25冬优子白情036
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-ストレイライト.csv,5,4901041050040,冬優子,……………………,……………………,283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ストレイライト
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-ストレイライト.csv,6,4901041050050,冬優子,"ふふっ、別に？
あんたの反応が面白いから見てただけ","呵呵，没怎么啊
就是看你反应很有趣所以只是单纯在看着而已",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ストレイライト
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-ストレイライト.csv,7,4901041050060,冬優子,"この顔をこれからも
ずっと見続けていくのかーって思って","想着今后是不是也会一直看着你这张脸呢——
这样",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ストレイライト
283活动剧情\Belles of three.Stray match\一.csv,4,4001063020010,冬優子,……Ｂ小町……,……B小町……,283活动剧情,Belles of three.Stray match,一
283活动剧情\Belles of three.Stray match\一.csv,18,4001063020080,冬優子,……『アイ』で思い出した,……我倒是靠“爱”这个名字想起来了,283活动剧情,Belles of three.Stray match,一
283活动剧情\Belles of three.Stray match\一.csv,19,4001063020090,冬優子,Ｂ小町、子どもの頃に見てたわ,B小町，我在小时候有看到过,283活动剧情,Belles of three.Stray match,一
283活动剧情\Belles of three.Stray match\一.csv,20,4001063020100,冬優子,テレビとかよく出てたわよね？,她们是不是经常出演电视节目来着？,283活动剧情,Belles of three.Stray match,一
283活动剧情\Belles of three.Stray match\一.csv,27,4001063020130,冬優子,"……有馬かなは元子役……
芸歴が長いのね","……有马加奈是童星出身……
混迹业界好多年了呢",283活动剧情,Belles of three.Stray match,一
283活动剧情\Belles of three.Stray match\一.csv,38,4001063020180,冬優子,"別に得意ではないけど……
んー……まぁ消去法で考えたらふゆか……","也没你说得那么擅长啦……
嗯—……不过靠排除法的话也只有冬优了",283活动剧情,Belles of three.Stray match,一
