file,line_no,id,speaker,trans,category,arc,episode
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈1.csv,2,4901900270010,甘奈,"哇，好厉害！
做得好漂亮～！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈1
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈1.csv,4,4901900270020,甘奈,"一看就知道了～……！
肯定花了不少功夫……！  谢谢啦！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈1
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈2.csv,2,4901900280010,甘奈,"哇，好厉害！
做得好漂亮～！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈2.csv,4,4901900280020,甘奈,"一看就知道了～……！
肯定花了不少功夫……！  谢谢啦！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈2.csv,5,4901900280030,甘奈,,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈2.csv,7,4901900280040,甘奈,"诶嘿嘿……
被你发现了……",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈2.csv,8,4901900280050,甘奈,,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈2.csv,9,4901900280060,甘奈,"…………
可不可以……也像之前那样？",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈2.csv,11,4901900280070,甘奈,"甘奈，也有点
想要……制作人喂……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈2
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-アルストロメリア.csv,2,4901041040010,甘奈,"制作人……
那个……，谢谢你……！",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-アルストロメリア
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-アルストロメリア.csv,3,4901041040020,甘奈,"话说啊，现在的甘奈的幸福
是有了制作人先生才能实现的，所以……",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-アルストロメリア
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-アルストロメリア.csv,4,4901041040030,甘奈,不由得就想要……说一些感谢的话语……！,283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-アルストロメリア
283活动剧情\Detective×Murder\special_communications_490103204.csv,4,4901032040010,甘奈,"弟子先生，谢谢你！
诶嘿嘿，看起来很好吃呢",283活动剧情,Detective×Murder,special_communications_490103204
283活动剧情\Detective×Murder\special_communications_490103204.csv,5,4901032040020,甘奈,"顺带一提……
这个是主菜吗？",283活动剧情,Detective×Murder,special_communications_490103204
283活动剧情\Detective×Murder\special_communications_490103204.csv,6,4901032040030,甘奈,"如果“A”先生也会同席，
我觉得现在就全部吃完不太好吧",283活动剧情,Detective×Murder,special_communications_490103204
283活动剧情\Detective×Murder\special_communications_490103204.csv,19,4901032040080,甘奈,是这样吗……,283活动剧情,Detective×Murder,special_communications_490103204
