file,line_no,id,speaker,text,category,arc,episode
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈1.csv,2,4901900270010,甘奈,"わ、すごーい！
めっちゃ凝ってて綺麗～！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈1
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈1.csv,4,4901900270020,甘奈,"見たらわかるよ～……！
絶対時間かかったよね……！　ありがと！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈1
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈2.csv,2,4901900280010,甘奈,"わ、すごーい！
めっちゃ凝ってて綺麗～！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈2.csv,4,4901900280020,甘奈,"見たらわかるよ～……！
絶対時間かかったよね……！　ありがと！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈2.csv,5,4901900280030,甘奈,……,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈2.csv,7,4901900280040,甘奈,"えへへ……
気付かれちゃった……",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈2.csv,8,4901900280050,甘奈,…………,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈2.csv,9,4901900280060,甘奈,"…………
やってもらっても……いい？",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈2.csv,11,4901900280070,甘奈,"甘奈も、あーんって
してもらいたい……かも……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈2
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-アルストロメリア.csv,2,4901041040010,甘奈,"プロデューサーさん……
あの……、ありがと……！",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-アルストロメリア
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-アルストロメリア.csv,3,4901041040020,甘奈,"えっとね、今の甘奈の幸せって
プロデューサーさんがいないと、なかったものだから……",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-アルストロメリア
