file,line_no,id,speaker,text,trans,category,arc,episode
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈1.csv,2,4901900270010,甘奈,"わ、すごーい！
めっちゃ凝ってて綺麗～！","哇，好厉害！
做得好漂亮～！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈1
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈1.csv,4,4901900270020,甘奈,"見たらわかるよ～……！
絶対時間かかったよね……！　ありがと！","一看就知道了～……！
肯定花了不少功夫……！  谢谢啦！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈1
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈2.csv,2,4901900280010,甘奈,"わ、すごーい！
めっちゃ凝ってて綺麗～！","哇，好厉害！
做得好漂亮～！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈2.csv,4,4901900280020,甘奈,"見たらわかるよ～……！
絶対時間かかったよね……！　ありがと！","一看就知道了～……！
肯定花了不少功夫……！  谢谢啦！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈2.csv,5,4901900280030,甘奈,……,,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈2.csv,7,4901900280040,甘奈,"えへへ……
気付かれちゃった……","诶嘿嘿……
被你发现了……",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈2.csv,8,4901900280050,甘奈,…………,,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈2.csv,9,4901900280060,甘奈,"…………
やってもらっても……いい？","…………
可不可以……也像之前那样？",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甘奈2.csv,11,4901900280070,甘奈,"甘奈も、あーんって
してもらいたい……かも……！","甘奈，也有点
想要……制作人喂……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甘奈2
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-アルストロメリア.csv,2,4901041040010,甘奈,"プロデューサーさん……
あの……、ありがと……！","制作人……
那个……，谢谢你……！",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-アルストロメリア
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-アルストロメリア.csv,3,4901041040020,甘奈,"えっとね、今の甘奈の幸せって
プロデューサーさんがいないと、なかったものだから……","话说啊，现在的甘奈的幸福
是有了制作人先生才能实现的，所以……",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-アルストロメリア
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-アルストロメリア.csv,4,4901041040030,甘奈,お礼……言いたくなっちゃったんだ……！,不由得就想要……说一些感谢的话语……！,283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-アルストロメリア
283活动剧情\Detective×Murder\special_communications_490103204.csv,4,4901032040010,甘奈,"お弟子さん、ありがと！
えへへ、めっちゃ美味しそうだね","弟子先生，谢谢你！
诶嘿嘿，看起来很好吃呢",283活动剧情,Detective×Murder,special_communications_490103204
283活动剧情\Detective×Murder\special_communications_490103204.csv,5,4901032040020,甘奈,"ちなみに……
これってメインディッシュかな？","顺带一提……
这个是主菜吗？",283活动剧情,Detective×Murder,special_communications_490103204
283活动剧情\Detective×Murder\special_communications_490103204.csv,6,4901032040030,甘奈,"『Ａ』さんも同席してくれるなら
食べ終わっちゃうとよくないかなって思って","如果“A”先生也会同席，
我觉得现在就全部吃完不太好吧",283活动剧情,Detective×Murder,special_communications_490103204
283活动剧情\Detective×Murder\special_communications_490103204.csv,19,4901032040080,甘奈,そうなんだ……,是这样吗……,283活动剧情,Detective×Murder,special_communications_490103204
283活动剧情\Detective×Murder\special_communications_490103204.csv,20,4901032040090,甘奈,"誰にも姿を見せなかった『Ａ』だもんね！
挨拶してもらえるだけでもうれしーな！","毕竟那可是从不在任何人面前露脸的“A”嘛！
哪怕只是露个脸我也很高兴了！",283活动剧情,Detective×Murder,special_communications_490103204
283活动剧情\Detective×Murder\special_communications_490103205.csv,16,4901032050150,甘奈,そうだね……！,是呢……！,283活动剧情,Detective×Murder,special_communications_490103205
283活动剧情\Detective×Murder\special_communications_490103205.csv,17,4901032050160,甘奈,"お弟子さん、本棟の見取り図
描いてもらっていいかな？",弟子先生，能帮我们画一份主楼的布局图吗？,283活动剧情,Detective×Murder,special_communications_490103205
283活动剧情\Detective×Murder\special_communications_490103205.csv,18,4901032050170,甘奈,"当てずっぽうに歩くより、
何か、指針になるものがあった方がいいと思うんだ","我觉得比起到处乱转，
还是有某种类似指针的东西会比较好",283活动剧情,Detective×Murder,special_communications_490103205
283活动剧情\Detective×Murder\special_communications_490103207.csv,12,4901032070100,甘奈,"甘奈が前に関わった事件でも
そういうのあったよ","甘奈之前参与的事件里，
也出现过类似的情况哦",283活动剧情,Detective×Murder,special_communications_490103207
283活动剧情\Detective×Murder\special_communications_490103207.csv,13,4901032070110,甘奈,"遺体を氷で冷やして
死亡推定時刻を実際より前に誤認させる、って","比如用冰冷却遗体，
让死亡推定时刻被误认得比实际时间更早",283活动剧情,Detective×Murder,special_communications_490103207
283活动剧情\Detective×Murder\special_communications_490103207.csv,16,4901032070140,甘奈,"あ、はーい！
甜花ちゃん、千雪さん、行こう？","啊，来了——！
小甜花，千雪小姐，我们走吧？",283活动剧情,Detective×Murder,special_communications_490103207
283活动剧情\Detective×Murder\special_communications_490103212.csv,20,4901032120190,甘奈,"焼き上がるまで一緒にいたら、
千雪さんのアリバイ、ちゃんと立証できたのに……","明明如果我们一直陪着千雪小姐到饼干烤好，
就能帮她做不在场证明了……",283活动剧情,Detective×Murder,special_communications_490103212
283活动剧情\Detective×Murder\【２日目】16_05-推理開始.csv,10,4901032250040,甘奈,"お弟子さん……
そんなことができた、犯人って一体……？","弟子先生……
做了那种事情的犯人，到底是……？",283活动剧情,Detective×Murder,【２日目】16_05-推理開始
283活动剧情\Detective×Murder\【２日目】16_28-凶器について１.csv,20,4901032270120,甘奈,ガムシロップがついたエコバッグが凶器……,沾上了树胶糖浆的环保袋就是凶器……,283活动剧情,Detective×Murder,【２日目】16_28-凶器について１
283活动剧情\Detective×Murder\【２日目】16_28-凶器について１.csv,22,4901032270130,甘奈,でも、エコバッグって薄くて軽い……よね？,但是，环保袋应该很薄而且很轻……吧？,283活动剧情,Detective×Murder,【２日目】16_28-凶器について１
283活动剧情\Detective×Murder\【２日目】16_28-凶器について１.csv,23,4901032270140,甘奈,"それを凶器にっていうのは
ちょっと難しいんじゃないかな……？",要拿它当凶器是不是有点困难呢……？,283活动剧情,Detective×Murder,【２日目】16_28-凶器について１
