file,line_no,id,speaker,trans,category,arc,episode
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花1.csv,4,4901900290010,甜花,"哇，是恶魔太郎……！
谢谢……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花1
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花1.csv,5,4901900290020,甜花,"诶嘿嘿……
感觉……稍微精神起来一点了……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花1
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花2.csv,4,4901900300010,甜花,"哇，这是……
……恶魔太郎……？",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花2.csv,6,4901900300020,甜花,…………,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花2.csv,8,4901900300030,甜花,不，不是的……！,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花2.csv,9,4901900300040,甜花,"我能从这只恶魔太郎身上……
感受到……非常非常温暖的一片心意……",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花2.csv,10,4901900300050,甜花,"甜花……感觉自己能继续加油努力了……！
制作人，谢谢你……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花2.csv,11,4901900300060,甜花,诶嘿嘿……！,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花2
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-アルストロメリア.csv,5,4901041040040,甜花,"多亏了制作人先生……
才能让甜花的各种不足……",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-アルストロメリア
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-アルストロメリア.csv,6,4901041040050,甜花,"逐渐……
一点点被修正吧……？",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-アルストロメリア
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-アルストロメリア.csv,7,4901041040060,甜花,"尼嘿嘿……在甜花真正能独当一面之前……
我们要一直在一起哦……！",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-アルストロメリア
283活动剧情\Detective×Murder\special_communications_490103204.csv,21,4901032040100,甜花,嗯，“A”很厉害……！,283活动剧情,Detective×Murder,special_communications_490103204
283活动剧情\Detective×Murder\special_communications_490103204.csv,22,4901032040110,甜花,甜花本来想去厨房，结果不小心迷路了……,283活动剧情,Detective×Murder,special_communications_490103204
283活动剧情\Detective×Murder\special_communications_490103204.csv,23,4901032040120,甜花,"这里又宽敞又豪华……
就像游戏里会出现的洋房一样……",283活动剧情,Detective×Murder,special_communications_490103204
283活动剧情\Detective×Murder\special_communications_490103204.csv,24,4901032040130,甜花,"不仅有台球、高尔夫，还有围棋、将棋、麻将……
甚至还有个玩桌游的房间……",283活动剧情,Detective×Murder,special_communications_490103204
283活动剧情\Detective×Murder\special_communications_490103204.csv,25,4901032040140,甜花,"甜花，真的很想玩一玩……
但是，在和“A”打招呼之前，都要忍耐……",283活动剧情,Detective×Murder,special_communications_490103204
283活动剧情\Detective×Murder\special_communications_490103205.csv,19,4901032050180,甜花,"哇……
是这样……呢……！",283活动剧情,Detective×Murder,special_communications_490103205
283活动剧情\Detective×Murder\special_communications_490103205.csv,20,4901032050190,甜花,——还、还有没有什么……别的线索呢……？,283活动剧情,Detective×Murder,special_communications_490103205
283活动剧情\Detective×Murder\special_communications_490103205.csv,21,4901032050200,甜花,比如，“A”说过的话之类的……,283活动剧情,Detective×Murder,special_communications_490103205
283活动剧情\Detective×Murder\special_communications_490103205.csv,23,4901032050210,甜花,"嗯……！
拜托你了……！",283活动剧情,Detective×Murder,special_communications_490103205
283活动剧情\Detective×Murder\special_communications_490103207.csv,14,4901032070120,甜花,……冷却，吗……,283活动剧情,Detective×Murder,special_communications_490103207
283活动剧情\Detective×Murder\special_communications_490103212.csv,18,4901032120170,甜花,嗯……,283活动剧情,Detective×Murder,special_communications_490103212
283活动剧情\Detective×Murder\special_communications_490103212.csv,19,4901032120180,甜花,"千雪小姐……也把饼干……
分给了甜花一些……",283活动剧情,Detective×Murder,special_communications_490103212
283活动剧情\Detective×Murder\【２日目】16_28-凶器について１.csv,15,4901032270110,甜花,"啊……那是……
甜花……不小心踩到的那个……？",283活动剧情,Detective×Murder,【２日目】16_28-凶器について１
283活动剧情\Detective×Murder\【２日目】16_28-凶器について１.csv,24,4901032270150,甜花,"嗯、嗯……
但是……",283活动剧情,Detective×Murder,【２日目】16_28-凶器について１
283活动剧情\Detective×Murder\【２日目】16_28-凶器について１.csv,25,4901032270160,甜花,"只要在环保袋里面……
装上，一些东西……",283活动剧情,Detective×Murder,【２日目】16_28-凶器について１
283活动剧情\Detective×Murder\【２日目】18_36-理由.csv,6,4901032320030,甜花,"千、千雪小姐……
……嗯——",283活动剧情,Detective×Murder,【２日目】18_36-理由
283活动剧情\Detective×Murder\【２日目】18_36-理由.csv,7,4901032320040,甜花,"你一定是……
有什么，非要这么做的……理由吧……？",283活动剧情,Detective×Murder,【２日目】18_36-理由
283活动剧情\Detective×Murder\【２日目】18_36-理由.csv,60,4901032320510,甜花,……我、“我”……？,283活动剧情,Detective×Murder,【２日目】18_36-理由
283活动剧情\Detective×Murder\【２日目】午前-甘奈・甜花・千雪.csv,14,4901032160110,甜花,"嗯……
甜花和小奈……也去、看了看现场……",283活动剧情,Detective×Murder,【２日目】午前-甘奈・甜花・千雪
283活动剧情\Detective×Murder\【２日目】午前-甘奈・甜花・千雪.csv,17,4901032160140,甜花,"啊……绒毯也……
染上了……某种东西……",283活动剧情,Detective×Murder,【２日目】午前-甘奈・甜花・千雪
283活动剧情\Detective×Murder\【２日目】午前-甘奈・甜花・千雪.csv,18,4901032160150,甜花,"血……
还有像水一样的东西……",283活动剧情,Detective×Murder,【２日目】午前-甘奈・甜花・千雪
283活动剧情\Detective×Murder\【２日目】午前-甘奈・甜花・千雪.csv,19,4901032160160,甜花,"还有……
散乱在地上的书也是……",283活动剧情,Detective×Murder,【２日目】午前-甘奈・甜花・千雪
283活动剧情\Detective×Murder\【２日目】午前-甘奈・甜花・千雪.csv,27,4901032160290,甜花,,283活动剧情,Detective×Murder,【２日目】午前-甘奈・甜花・千雪
283活动剧情\Detective×Murder\【２日目】午前-甘奈・甜花・千雪.csv,32,4901032160220,甜花,"那……也就是说，
犯人把遗体从外面搬了进来……？",283活动剧情,Detective×Murder,【２日目】午前-甘奈・甜花・千雪
283活动剧情\Detective×Murder\【２日目】午前-甘奈・甜花・千雪.csv,33,4901032160230,甜花,"……那样……
感觉会很困难……",283活动剧情,Detective×Murder,【２日目】午前-甘奈・甜花・千雪
283活动剧情\Detective×Murder\【２日目】午前-甘奈・甜花・千雪.csv,35,4901032160250,甜花,"就算是从天窗把遗体吊进来……
然后扔到地上的……",283活动剧情,Detective×Murder,【２日目】午前-甘奈・甜花・千雪
283活动剧情\Detective×Murder\【２日目】午前-甘奈・甜花・千雪.csv,36,4901032160260,甜花,"遗体上……
也会留下痕迹吧……",283活动剧情,Detective×Murder,【２日目】午前-甘奈・甜花・千雪
283活动剧情\Detective×Murder\【２日目】午前-甘奈・甜花・千雪.csv,43,4901032160360,甜花,"……呃……
是为了让雨水淋在上面，来冷却身体……之类的……？",283活动剧情,Detective×Murder,【２日目】午前-甘奈・甜花・千雪
283活动剧情\Detective×Murder\【２日目】午前-甘奈・甜花・千雪.csv,48,4901032160380,甜花,这、这么说来……,283活动剧情,Detective×Murder,【２日目】午前-甘奈・甜花・千雪
283活动剧情\Detective×Murder\【２日目】午前-甘奈・甜花・千雪.csv,49,4901032160390,甜花,"千雪小姐……
昨天晚上的事情……对、对不起……",283活动剧情,Detective×Murder,【２日目】午前-甘奈・甜花・千雪
283活动剧情\Detective×Murder\【２日目】午前-甘奈・甜花・千雪.csv,55,4901032160440,甜花,"甜花……
从冷藏库拿了一盒牛奶……",283活动剧情,Detective×Murder,【２日目】午前-甘奈・甜花・千雪
283活动剧情\Detective×Murder\【２日目】午前-甘奈・甜花・千雪.csv,56,4901032160450,甜花,"但是，牛奶非常地凉，
甜花吓了一跳……",283活动剧情,Detective×Murder,【２日目】午前-甘奈・甜花・千雪
283活动剧情\Detective×Murder\【２日目】午前-甘奈・甜花・千雪.csv,57,4901032160460,甜花,"然后，甜花好像踩到了什么东西……
架子上也掉了很多东西下来……",283活动剧情,Detective×Murder,【２日目】午前-甘奈・甜花・千雪
283活动剧情\Detective×Murder\【２日目】午前-甘奈・甜花・千雪.csv,63,4901032160520,甜花,"啊呜……
真、真的……很对不起……",283活动剧情,Detective×Murder,【２日目】午前-甘奈・甜花・千雪
283活动剧情\Detective×Murder\【２日目】午前-甘奈・甜花・千雪.csv,64,4901032160530,甜花,"而、而且……明明如果甜花我们也在一起……
就能帮千雪小姐做不在场证明了……",283活动剧情,Detective×Murder,【２日目】午前-甘奈・甜花・千雪
283活动剧情\Detective×Murder\【２日目】午前-甘奈・甜花・千雪.csv,71,4901032160580,甜花,嗯、嗯……,283活动剧情,Detective×Murder,【２日目】午前-甘奈・甜花・千雪
