file,line_no,id,speaker,text,category,arc,episode
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花1.csv,4,4901900290010,甜花,"わ、デビ太郎……！
ありがと……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花1
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花1.csv,5,4901900290020,甜花,"にへへ……
ちょっと、元気……なった……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花1
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花2.csv,4,4901900300010,甜花,"わ、デビ……
……太郎……？",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花2.csv,6,4901900300020,甜花,…………,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花2.csv,8,4901900300030,甜花,そ、そんなことない……！,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花2.csv,9,4901900300040,甜花,"この、デビ太郎……
あったかい気持ち……いっぱい、感じる……",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花2.csv,10,4901900300050,甜花,"甜花……すごく、頑張れそう……！
プロデューサーさん、ありがと……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花2.csv,11,4901900300060,甜花,にへへ……！,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花2
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-アルストロメリア.csv,5,4901041040040,甜花,"プロデューサーさんのおかげで……
甜花の、だめだめなとこ……",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-アルストロメリア
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-アルストロメリア.csv,6,4901041040050,甜花,"いっこずつ……
ちゃんと、なってってるよね……？",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-アルストロメリア
