file,line_no,id,speaker,text,trans,category,arc,episode
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花1.csv,4,4901900290010,甜花,"わ、デビ太郎……！
ありがと……！","哇，是恶魔太郎……！
谢谢……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花1
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花1.csv,5,4901900290020,甜花,"にへへ……
ちょっと、元気……なった……！","诶嘿嘿……
感觉……稍微精神起来一点了……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花1
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花2.csv,4,4901900300010,甜花,"わ、デビ……
……太郎……？","哇，这是……
……恶魔太郎……？",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花2.csv,6,4901900300020,甜花,…………,…………,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花2.csv,8,4901900300030,甜花,そ、そんなことない……！,不，不是的……！,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花2.csv,9,4901900300040,甜花,"この、デビ太郎……
あったかい気持ち……いっぱい、感じる……","我能从这只恶魔太郎身上……
感受到……非常非常温暖的一片心意……",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花2.csv,10,4901900300050,甜花,"甜花……すごく、頑張れそう……！
プロデューサーさん、ありがと……！","甜花……感觉自己能继续加油努力了……！
制作人，谢谢你……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花2
283活动剧情\2025ホワイトデー スペシャルコミュ\25白情甜花2.csv,11,4901900300060,甜花,にへへ……！,诶嘿嘿……！,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情甜花2
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-アルストロメリア.csv,5,4901041040040,甜花,"プロデューサーさんのおかげで……
甜花の、だめだめなとこ……","多亏了制作人先生……
才能让甜花的各种不足……",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-アルストロメリア
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-アルストロメリア.csv,6,4901041040050,甜花,"いっこずつ……
ちゃんと、なってってるよね……？","逐渐……
一点点被修正吧……？",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-アルストロメリア
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-アルストロメリア.csv,7,4901041040060,甜花,"にへへ……甜花が、だめだめじゃ、なくなるまで……
ずっと、一緒にいようね……！","尼嘿嘿……在甜花真正能独当一面之前……
我们要一直在一起哦……！",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-アルストロメリア
283活动剧情\Detective×Murder\special_communications_490103204.csv,21,4901032040100,甜花,うん、『Ａ』はすごい……！,嗯，“A”很厉害……！,283活动剧情,Detective×Murder,special_communications_490103204
283活动剧情\Detective×Murder\special_communications_490103204.csv,22,4901032040110,甜花,甜花、台所に行こうと思って、迷っちゃった……,甜花本来想去厨房，结果不小心迷路了……,283活动剧情,Detective×Murder,special_communications_490103204
283活动剧情\Detective×Murder\special_communications_490103204.csv,23,4901032040120,甜花,"広くて、豪華で……
ゲームに出てくるお屋敷みたいだった……","这里又宽敞又豪华……
就像游戏里会出现的洋房一样……",283活动剧情,Detective×Murder,special_communications_490103204
283活动剧情\Detective×Murder\special_communications_490103204.csv,24,4901032040130,甜花,"ビリヤードやゴルフゲームに、囲碁、将棋、雀卓……
ボードゲームの部屋もあって……","不仅有台球、高尔夫，还有围棋、将棋、麻将……
甚至还有个玩桌游的房间……",283活动剧情,Detective×Murder,special_communications_490103204
283活动剧情\Detective×Murder\special_communications_490103204.csv,25,4901032040140,甜花,"甜花、遊んでみたくなっちゃった……
けど、ご挨拶までは、我慢……","甜花，真的很想玩一玩……
但是，在和“A”打招呼之前，都要忍耐……",283活动剧情,Detective×Murder,special_communications_490103204
283活动剧情\Detective×Murder\special_communications_490103205.csv,19,4901032050180,甜花,"わ……
そう……だね……！","哇……
是这样……呢……！",283活动剧情,Detective×Murder,special_communications_490103205
283活动剧情\Detective×Murder\special_communications_490103205.csv,20,4901032050190,甜花,"──あ、あと……
何か、手がかりも……ないかな……？",——还、还有没有什么……别的线索呢……？,283活动剧情,Detective×Murder,special_communications_490103205
283活动剧情\Detective×Murder\special_communications_490103205.csv,21,4901032050200,甜花,『Ａ』が、言っていたこととかで……,比如，“A”说过的话之类的……,283活动剧情,Detective×Murder,special_communications_490103205
283活动剧情\Detective×Murder\special_communications_490103205.csv,23,4901032050210,甜花,"うん……！
お願いします……！","嗯……！
拜托你了……！",283活动剧情,Detective×Murder,special_communications_490103205
283活动剧情\Detective×Murder\special_communications_490103207.csv,14,4901032070120,甜花,……冷やす、か……,……冷却，吗……,283活动剧情,Detective×Murder,special_communications_490103207
283活动剧情\Detective×Murder\special_communications_490103212.csv,18,4901032120170,甜花,うん……,嗯……,283活动剧情,Detective×Murder,special_communications_490103212
283活动剧情\Detective×Murder\special_communications_490103212.csv,19,4901032120180,甜花,"甜花……そのクッキー……
千雪さんに、わけてもらった……","千雪小姐……也把饼干……
分给了甜花一些……",283活动剧情,Detective×Murder,special_communications_490103212
283活动剧情\Detective×Murder\【２日目】16_28-凶器について１.csv,15,4901032270110,甜花,"あ……それって……
甜花が……踏んじゃったやつ……？","啊……那是……
甜花……不小心踩到的那个……？",283活动剧情,Detective×Murder,【２日目】16_28-凶器について１
283活动剧情\Detective×Murder\【２日目】16_28-凶器について１.csv,24,4901032270150,甜花,"う、うん……
でも……","嗯、嗯……
但是……",283活动剧情,Detective×Murder,【２日目】16_28-凶器について１
283活动剧情\Detective×Murder\【２日目】16_28-凶器について１.csv,25,4901032270160,甜花,"エコバッグの中に……
何か、入れたりすれば……","只要在环保袋里面……
装上，一些东西……",283活动剧情,Detective×Murder,【２日目】16_28-凶器について１
283活动剧情\Detective×Murder\【２日目】18_36-理由.csv,6,4901032320030,甜花,"ち、千雪さん……
……えと──","千、千雪小姐……
……嗯——",283活动剧情,Detective×Murder,【２日目】18_36-理由
283活动剧情\Detective×Murder\【２日目】18_36-理由.csv,7,4901032320040,甜花,"なんか……
どうしてもって、理由……あるんだよね……？","你一定是……
有什么，非要这么做的……理由吧……？",283活动剧情,Detective×Murder,【２日目】18_36-理由
