file,line_no,id,speaker,trans,category,arc,episode
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情真乃01.csv,3,4901900010010,真乃,"小P的拉花咖啡……
白白茸茸的样子真的很像……",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情真乃01
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情真乃01.csv,5,4901900010020,真乃,"喝掉它太可惜了……
……稍等一会……",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情真乃01
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情真乃02.csv,3,4901900020010,真乃,"小P的拉花咖啡……
白白茸茸的样子真的很像……",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情真乃02
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情真乃02.csv,5,4901900020020,真乃,"喝掉它太可惜了……
……",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情真乃02
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情真乃02.csv,7,4901900020030,真乃,"啊，不……
是我自己用……",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情真乃02
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情真乃02.csv,8,4901900020040,真乃,"我听说，当遇到实在舍不得放弃的东西时
像这样把它拍下来保存起来会比较好",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情真乃02
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情真乃02.csv,10,4901900020050,真乃,"不管是漂亮的拉花、咖啡的味道
还是和制作人一起度过的特别时光",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情真乃02
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情真乃02.csv,11,4901900020060,真乃,我都希望能随时回忆起来……,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情真乃02
283活动剧情/5th Anniversary 当日スペシャルコミュ/5th Anniversary-illuminationSTARS.csv,2,4901041010010,真乃,——“请问你有兴趣成为偶像吗？”,283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-illuminationSTARS
283活动剧情/5th Anniversary 当日スペシャルコミュ/5th Anniversary-illuminationSTARS.csv,3,4901041010020,真乃,"……我成为偶像后积累了很多经验，
还收获了很多回忆……",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-illuminationSTARS
283活动剧情/5th Anniversary 当日スペシャルコミュ/5th Anniversary-illuminationSTARS.csv,4,4901041010030,真乃,"这一切都是因为那时制作人先生的那句话而开始的——
……我总是如此回忆着……",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-illuminationSTARS
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,7,4001009010060,真乃,"嗯
现在非常大方地在说了……！",283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,9,4001009010080,真乃,加油，灯织……,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,12,4001009010101,真乃＆めぐる,,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,13,4001009010110,真乃,太好了……,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,16,4001009010140,真乃,呵呵，嗯,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,17,4001009010150,真乃,——那个……打完招呼后，说是要跟志愿者们一起发传单是吧,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,20,4001009010180,真乃,嗯，我也想这么说，巡,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,21,4001009010190,真乃,"虽然今天是灯织的工作——
但是作为志愿者参与也没关系吧",283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,24,4001009010220,真乃,嗯,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,27,4001009010250,真乃,"减少自行车交通事故吧——
请拿着这张传单回去",283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,28,4001009010260,真乃,非常感谢,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,31,4001009010290,真乃,让我们一起发吧，灯织,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,36,4001009010340,真乃,嗯,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,37,4001009010350,真乃,呵呵……所以，不需要道歉哦,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,40,4001009010380,真乃,啊——,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,45,4001009010430,真乃,哇……,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,46,4001009010440,真乃,灯织，像是真的警察一样……,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,52,4001009010500,真乃,,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,55,4001009010530,真乃,"！
啊，那个",283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,56,4001009010540,真乃,拜托你了……,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,64,4001009010600,真乃,我们会好好看着灯织的署长身姿的,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,69,4001009010650,真乃,嗯,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,8,4001009020050,真乃,灯织，真了不起……,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,13,4001009020090,真乃,哇，辛苦了……,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,19,4001009020110,真乃,嗯……,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,20,4001009020120,真乃,灯织，真厉害啊……,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,21,4001009020130,真乃,,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,22,4001009020140,真乃,（……我——……）,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,23,4001009020150,真乃,,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,25,4001009020170,真乃,,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,27,4001009020190,真乃,……灯织，辛苦了,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,31,4001009020220,真乃,非常帅气,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,36,4001009020270,真乃,太可惜了……,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,37,4001009020280,真乃,"难得当一次署长，
可以的话……再稍微……",283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,42,4001009020320,真乃,呵呵，当然可以,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,48,4001009020360,真乃,,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,49,4001009020370,真乃,怎么了？灯织,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,52,4001009020400,真乃,,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,53,4001009020410,真乃,（……中间）,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
