file,line_no,id,speaker,text,category,arc,episode
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情真乃01.csv,3,4901900010010,真乃,"ピーちゃんのラテアート……っ
白くてほわほわなところがそっくりです……っ",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情真乃01
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情真乃01.csv,5,4901900010020,真乃,"飲んでしまうのがもったいないです……
……もう少しだけ……",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情真乃01
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情真乃02.csv,3,4901900020010,真乃,"ピーちゃんのラテアート……っ
白くてほわほわなところがそっくりです……っ",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情真乃02
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情真乃02.csv,5,4901900020020,真乃,"飲んでしまうのがもったいないです……
……",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情真乃02
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情真乃02.csv,7,4901900020030,真乃,"あ、いえ……
これは、私のために……",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情真乃02
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情真乃02.csv,8,4901900020040,真乃,"どうしても手放すことを惜しんじゃう時は
こうやって、写真に収めておくといいと聞いたので",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情真乃02
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情真乃02.csv,10,4901900020050,真乃,"このすてきなラテアートも、ラテの味も
プロデューサーさんとの、特別なひと時も",283活动剧情,2025ホワイトデー スペシャルコミュ,25白情真乃02
283活动剧情/2025ホワイトデー スペシャルコミュ/25白情真乃02.csv,11,4901900020060,真乃,またいつでも、思い出せるように……,283活动剧情,2025ホワイトデー スペシャルコミュ,25白情真乃02
283活动剧情/5th Anniversary 当日スペシャルコミュ/5th Anniversary-illuminationSTARS.csv,2,4901041010010,真乃,──『アイドルになってみる気はない？』,283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-illuminationSTARS
283活动剧情/5th Anniversary 当日スペシャルコミュ/5th Anniversary-illuminationSTARS.csv,3,4901041010020,真乃,"……私が、アイドルとしてたくさんの経験と、
たくさんの思いに触れられるのは……",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-illuminationSTARS
283活动剧情/5th Anniversary 当日スペシャルコミュ/5th Anniversary-illuminationSTARS.csv,4,4901041010030,真乃,"あのときのプロデューサーさんの言葉がはじまりだ──って
……いつも、そう思い返しています……",283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-illuminationSTARS
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,7,4001009010060,真乃,"うん
今は、すっごく堂々としてる……！",283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,9,4001009010080,真乃,頑張って、灯織ちゃんっ……,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,12,4001009010101,真乃＆めぐる,！,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,13,4001009010110,真乃,良かったぁ……,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,16,4001009010140,真乃,ふふ、うんっ,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,17,4001009010150,真乃,"──えっと……挨拶の後は、ボランティアのみなさんと
チラシを配るって言ってたよね",283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,20,4001009010180,真乃,うん、私もそう言おうと思ってたんだ、めぐるちゃん,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,21,4001009010190,真乃,"今日は灯織ちゃんのお仕事だけど──
ボランティアとしてだったら、参加しても大丈夫だよねっ",283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,24,4001009010220,真乃,うんっ,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,27,4001009010250,真乃,"自転車の事故を減らしましょう──
はい、こちらのチラシをお持ち帰りください、どうぞ",283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,28,4001009010260,真乃,ありがとうございますっ,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,31,4001009010290,真乃,私たちも一緒に配らせて、灯織ちゃんっ,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,36,4001009010340,真乃,うんっ,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,37,4001009010350,真乃,ふふ……だから、ごめんはいらないよっ,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,40,4001009010380,真乃,あ──,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,45,4001009010430,真乃,ほわ……,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,46,4001009010440,真乃,灯織ちゃん、本物のおまわりさんみたい……,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,52,4001009010500,真乃,……！,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,55,4001009010530,真乃,"！
あ、えっと",283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,56,4001009010540,真乃,お願いしますっ……,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,64,4001009010600,真乃,灯織ちゃんの署長さん姿、いっぱい見てるねっ,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/序章-見えない、ヒカリの先.csv,69,4001009010650,真乃,うんっ,283活动剧情,Catch the shiny tail,序章-見えない、ヒカリの先
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,8,4001009020050,真乃,灯織ちゃん、すごいな……っ,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,13,4001009020090,真乃,わ、お疲れさまですっ……,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,19,4001009020110,真乃,はい……,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,20,4001009020120,真乃,灯織ちゃん、すごいな……,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,21,4001009020130,真乃,……,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,22,4001009020140,真乃,（……私は──……）,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,23,4001009020150,真乃,（……）,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,25,4001009020170,真乃,！,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,27,4001009020190,真乃,……灯織ちゃん、お疲れさまっ,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,31,4001009020220,真乃,すっごくかっこよかったねって,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,36,4001009020270,真乃,ほわ、もったいないな……,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,37,4001009020280,真乃,"せっかくの署長さんだから、
よかったら……もう少し……",283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,42,4001009020320,真乃,ふふっ、もちろん,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,48,4001009020360,真乃,……？,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,49,4001009020370,真乃,どうしたの？　灯織ちゃん,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,52,4001009020400,真乃,……,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,53,4001009020410,真乃,（……真ん中……）,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
283活动剧情/Catch the shiny tail/第1话-彼女の輝き.csv,60,4001009020461,真乃＆灯織,──ふふっ,283活动剧情,Catch the shiny tail,第1话-彼女の輝き
