file,line_no,id,speaker,trans,category,arc,episode
283活动剧情\#２８３をひろげよう\エンディング-REPLY PARTY.csv,37,4001044080210,あさひ,嗯！,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情\#２８３をひろげよう\エンディング-REPLY PARTY.csv,39,4001044080230,あさひ,要办派对呢！,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情\#２８３をひろげよう\エンディング-REPLY PARTY.csv,44,4001044080280,あさひ,开派对很好玩呢！,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情\#２８３をひろげよう\エンディング-REPLY PARTY.csv,64,4001044080420,あさひ,"啊——
看不见屏幕……",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,9,4001044010050,あさひ,………………,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,12,4001044010060,あさひ,………………,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,15,4001044010070,あさひ,………………,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,41,4001044020390,あさひ,"啊
发现制作人！",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,42,4001044020400,あさひ,舞蹈老师在找你哦,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,44,4001044020410,あさひ,"舞蹈老师说
要从头开始跳一遍",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,45,4001044020420,あさひ,想让制作人也来看看,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,47,4001044020430,あさひ,感觉，没完没了呢,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,49,4001044020440,あさひ,"快点过来嘛
制作人！",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第3話-[283PRO]LESSON bhd.csv,62,4001044040440,あさひ,…………,283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情\#２８３をひろげよう\第3話-[283PRO]LESSON bhd.csv,65,4001044040450,あさひ,…………,283活动剧情,#２８３をひろげよう,第3話-[283PRO]LESSON bhd
283活动剧情\#２８３をひろげよう\第5話-[283PRO]STAGE bhd.csv,9,4001044060060,あさひ,————啊,283活动剧情,#２８３をひろげよう,第5話-[283PRO]STAGE bhd
283活动剧情\#２８３をひろげよう\第5話-[283PRO]STAGE bhd.csv,12,4001044060090,あさひ,"你们也是
为什么你们会在这里啊？",283活动剧情,#２８３をひろげよう,第5話-[283PRO]STAGE bhd
283活动剧情\#２８３をひろげよう\第5話-[283PRO]STAGE bhd.csv,15,4001044060120,あさひ,"……？
在拍了吗",283活动剧情,#２８３をひろげよう,第5話-[283PRO]STAGE bhd
283活动剧情\#２８３をひろげよう\第5話-[283PRO]STAGE bhd.csv,18,4001044060150,あさひ,"很期待！
兴奋不已！",283活动剧情,#２８３をひろげよう,第5話-[283PRO]STAGE bhd
283活动剧情\#２８３をひろげよう\第5話-[283PRO]STAGE bhd.csv,20,4001044060170,あさひ,"唔——
没什么感觉呢",283活动剧情,#２８３をひろげよう,第5話-[283PRO]STAGE bhd
283活动剧情\#２８３をひろげよう\第5話-[283PRO]STAGE bhd.csv,22,4001044060190,あさひ,"好的！
那我出发了！",283活动剧情,#２８３をひろげよう,第5話-[283PRO]STAGE bhd
283活动剧情\2025ホワイトデー スペシャルコミュ\25朝日白情033.csv,2,4901900330010,あさひ,"这个，是什么啊，外星人……？
啊，有条拉链……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25朝日白情033
283活动剧情\2025ホワイトデー スペシャルコミュ\25朝日白情033.csv,4,4901900330020,あさひ,"诶——……！真有趣呢
谢谢！",283活动剧情,2025ホワイトデー スペシャルコミュ,25朝日白情033
283活动剧情\2025ホワイトデー スペシャルコミュ\25朝日白情034.csv,2,4901900340010,あさひ,"这个，是什么啊，外星人……？
啊，有条拉链……！",283活动剧情,2025ホワイトデー スペシャルコミュ,25朝日白情034
283活动剧情\2025ホワイトデー スペシャルコミュ\25朝日白情034.csv,4,4901900340020,あさひ,"诶——……！真有趣呢
谢谢！",283活动剧情,2025ホワイトデー スペシャルコミュ,25朝日白情034
283活动剧情\2025ホワイトデー スペシャルコミュ\25朝日白情034.csv,5,4901900340030,あさひ,"这个，摸起来软乎乎的，还有点黏黏的，
又滑溜溜的～",283活动剧情,2025ホワイトデー スペシャルコミュ,25朝日白情034
283活动剧情\2025ホワイトデー スペシャルコミュ\25朝日白情034.csv,7,4901900340040,あさひ,嗯……不知道该用在哪呢……,283活动剧情,2025ホワイトデー スペシャルコミュ,25朝日白情034
283活动剧情\2025ホワイトデー スペシャルコミュ\25朝日白情034.csv,9,4901900340050,あさひ,零食……！,283活动剧情,2025ホワイトデー スペシャルコミュ,25朝日白情034
283活动剧情\2025ホワイトデー スペシャルコミュ\25朝日白情034.csv,10,4901900340060,あさひ,"那，要是下次这个包里的零食见底了
就请制片人帮我补充吧！",283活动剧情,2025ホワイトデー スペシャルコミュ,25朝日白情034
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-ストレイライト.csv,2,4901041050010,あさひ,嗯——？,283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ストレイライト
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-ストレイライト.csv,3,4901041050020,あさひ,我今天哪里也不去的说,283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ストレイライト
283活动剧情\5th Anniversary 当日スペシャルコミュ\5th Anniversary-ストレイライト.csv,4,4901041050030,あさひ,就是这样的心情的说,283活动剧情,5th Anniversary 当日スペシャルコミュ,5th Anniversary-ストレイライト
283活动剧情\Belles of three.Stray match\一.csv,5,4001063020020,あさひ,"噢～！
一决高下吗！",283活动剧情,Belles of three.Stray match,一
283活动剧情\Belles of three.Stray match\一.csv,9,4001063020040,あさひ,好像很有意思的样子～,283活动剧情,Belles of three.Stray match,一
