file,line_no,id,speaker,text,category,arc,episode
283活动剧情\#２８３をひろげよう\エンディング-REPLY PARTY.csv,37,4001044080210,あさひ,はいっす！,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情\#２８３をひろげよう\エンディング-REPLY PARTY.csv,39,4001044080230,あさひ,パーティーするんすよね！,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情\#２８３をひろげよう\エンディング-REPLY PARTY.csv,44,4001044080280,あさひ,パーティーは楽しいっすよ！,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情\#２８３をひろげよう\エンディング-REPLY PARTY.csv,64,4001044080420,あさひ,"あーっ
モニター見えない……",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,9,4001044010050,あさひ,………………,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,12,4001044010060,あさひ,………………,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,15,4001044010070,あさひ,………………,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,41,4001044020390,あさひ,"あっ
プロデューサーさん見つけたっす！",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,42,4001044020400,あさひ,ダンスの先生が探してるっすよ,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,44,4001044020410,あさひ,"もう一回、頭から通すから
プロデューサーさんにも見てもらいたいって",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,45,4001044020420,あさひ,ダンスの先生言ってたっす,283活动剧情,#２８３をひろげよう,第1話-MEETING
