file,line_no,id,speaker,text,trans,category,arc,episode
283活动剧情\#２８３をひろげよう\エンディング-REPLY PARTY.csv,37,4001044080210,あさひ,はいっす！,嗯！,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情\#２８３をひろげよう\エンディング-REPLY PARTY.csv,39,4001044080230,あさひ,パーティーするんすよね！,要办派对呢！,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情\#２８３をひろげよう\エンディング-REPLY PARTY.csv,44,4001044080280,あさひ,パーティーは楽しいっすよ！,开派对很好玩呢！,283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情\#２８３をひろげよう\エンディング-REPLY PARTY.csv,64,4001044080420,あさひ,"あーっ
モニター見えない……","啊——
看不见屏幕……",283活动剧情,#２８３をひろげよう,エンディング-REPLY PARTY
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,9,4001044010050,あさひ,………………,………………,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,12,4001044010060,あさひ,………………,………………,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\オープニング-PROJECT.csv,15,4001044010070,あさひ,………………,………………,283活动剧情,#２８３をひろげよう,オープニング-PROJECT
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,41,4001044020390,あさひ,"あっ
プロデューサーさん見つけたっす！","啊
发现制作人！",283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,42,4001044020400,あさひ,ダンスの先生が探してるっすよ,舞蹈老师在找你哦,283活动剧情,#２８３をひろげよう,第1話-MEETING
283活动剧情\#２８３をひろげよう\第1話-MEETING.csv,44,4001044020410,あさひ,"もう一回、頭から通すから
プロデューサーさんにも見てもらいたいって","舞蹈老师说
要从头开始跳一遍",283活动剧情,#２８３をひろげよう,第1話-MEETING
