file,line_no,id,speaker,trans,category,arc,episode
283活动剧情\2025ホワイトデー スペシャルコミュ\25羽那白情053.csv,3,4901900530010,羽那,"欸——嗯
制作人总是考虑太多啦",283活动剧情,2025ホワイトデー スペシャルコミュ,25羽那白情053
283活动剧情\2025ホワイトデー スペシャルコミュ\25羽那白情053.csv,4,4901900530020,羽那,"我真的只是想吃这个
想跟制作人一起来而已哦？",283活动剧情,2025ホワイトデー スペシャルコミュ,25羽那白情053
283活动剧情\2025ホワイトデー スペシャルコミュ\25羽那白情054.csv,3,4901900540010,羽那,"欸——嗯
制作人总是考虑太多啦",283活动剧情,2025ホワイトデー スペシャルコミュ,25羽那白情054
283活动剧情\2025ホワイトデー スペシャルコミュ\25羽那白情054.csv,6,4901900540020,羽那,"啊——……
牛角包好像的确放不了太久呢？",283活动剧情,2025ホワイトデー スペシャルコミュ,25羽那白情054
283活动剧情\2025ホワイトデー スペシャルコミュ\25羽那白情054.csv,8,4901900540030,羽那,"欸——
明明是制作人送给我的回礼……",283活动剧情,2025ホワイトデー スペシャルコミュ,25羽那白情054
283活动剧情\2025ホワイトデー スペシャルコミュ\25羽那白情054.csv,10,4901900540040,羽那,啊哈，也对哦——！,283活动剧情,2025ホワイトデー スペシャルコミュ,25羽那白情054
283活动剧情\2025ホワイトデー スペシャルコミュ\25羽那白情054.csv,11,4901900540050,羽那,"那这次的牛角包
我就每天一个，边吃边回忆今天的经历咯？",283活动剧情,2025ホワイトデー スペシャルコミュ,25羽那白情054
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,2,4001011110010,羽那,──这么说来，制作人,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,3,4001011110020,羽那,前些日子，我从舍友那边听说了,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,4,4001011110030,羽那,"事务所的所有人，
一起去野餐了的事是真的吗？",283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,13,4001011110071,羽那＆はるき,辛苦啦──,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,17,4001011110110,羽那,是啊——,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,18,4001011110120,羽那,"章鱼小香肠、真可爱啊—
*形似开花肠",283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,22,4001011110140,羽那,欸—,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,25,4001011110170,羽那,"阳希貌似挺擅长的呢──！
做完可以让我看看吗？",283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,31,4001011110220,羽那＆プロデューサー,……确实,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,32,4001011110230,羽那,"等到那时，如果路加也能一起
享受的话就好了──！",283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情\THE（CoMETIK）EPISODE\序章 改 (1).csv,8,4001074010041,ルカ＆羽那,,283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情\THE（CoMETIK）EPISODE\序章 改 (1).csv,11,4001074010070,羽那,我也想再看一次呢—,283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情\THE（CoMETIK）EPISODE\序章 改 (1).csv,12,4001074010071,羽那＆はるき,不行吗？,283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情\THE（CoMETIK）EPISODE\序章 改 (1).csv,16,4001074010091,羽那＆はるき,,283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情\THE（CoMETIK）EPISODE\序章 改 (1).csv,28,4001074010130,羽那,"空气感—
“氛围”那样的感觉吗？",283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情\THE（CoMETIK）EPISODE\序章 改 (1).csv,35,4001074010151,羽那＆はるき,好的,283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,6,4001074020030,羽那,诶，是那样啊—,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,15,4001074020061,羽那＆はるき,呵呵──！,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,16,4001074020070,羽那,哈，真有趣——,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,19,4001074020100,羽那,……？,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,26,4001074020150,羽那,嗯,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,29,4001074020180,羽那,哈哈，阳希真是好学——！,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,32,4001074020210,羽那,诶，是那样吗,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,34,4001074020230,羽那,嗯,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,35,4001074020240,羽那,…………,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,37,4001074020260,羽那,"──啊，不好意思
刚刚在想事情",283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,38,4001074020270,羽那,不是每次都能让阳希来做嘉宾的呢,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,39,4001074020280,羽那,哈哈，突然就感到不安了,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,42,4001074020310,羽那,"是嘛
不同的人……",283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,43,4001074020320,羽那,也把路加请来做嘉宾试试看吧？,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
