file,line_no,id,speaker,text,category,arc,episode
283活动剧情\2025ホワイトデー スペシャルコミュ\25羽那白情053.csv,3,4901900530010,羽那,"えーっ、うん
プロデューサーって結構そういうの気にするよね",283活动剧情,2025ホワイトデー スペシャルコミュ,25羽那白情053
283活动剧情\2025ホワイトデー スペシャルコミュ\25羽那白情053.csv,4,4901900530020,羽那,"あたしはこれが食べたかったし、
プロデューサーと一緒に来たかったんだよ？",283活动剧情,2025ホワイトデー スペシャルコミュ,25羽那白情053
283活动剧情\2025ホワイトデー スペシャルコミュ\25羽那白情054.csv,3,4901900540010,羽那,"えーっ、うん
プロデューサーって結構そういうの気にするよね",283活动剧情,2025ホワイトデー スペシャルコミュ,25羽那白情054
283活动剧情\2025ホワイトデー スペシャルコミュ\25羽那白情054.csv,6,4901900540020,羽那,"あー……
クロワッサンって日持ちしないよね？",283活动剧情,2025ホワイトデー スペシャルコミュ,25羽那白情054
283活动剧情\2025ホワイトデー スペシャルコミュ\25羽那白情054.csv,8,4901900540030,羽那,"えーっ、せっかくお返しにって
プロデューサーに買ってもらったのにーっ……",283活动剧情,2025ホワイトデー スペシャルコミュ,25羽那白情054
283活动剧情\2025ホワイトデー スペシャルコミュ\25羽那白情054.csv,10,4901900540040,羽那,あはっ、それだ──！,283活动剧情,2025ホワイトデー スペシャルコミュ,25羽那白情054
283活动剧情\2025ホワイトデー スペシャルコミュ\25羽那白情054.csv,11,4901900540050,羽那,"じゃあこのクロワッサンは、
毎日一個ずつ今日のことを思い出しながら食べるね？",283活动剧情,2025ホワイトデー スペシャルコミュ,25羽那白情054
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,2,4001011110010,羽那,──そういえば、プロデューサー,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,3,4001011110020,羽那,この前、寮の子たちから聞いたんだけど,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,4,4001011110030,羽那,"事務所のみんなで、
ピクニックに行ったことあるって本当？",283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,13,4001011110071,羽那＆はるき,お疲れ様──,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,17,4001011110110,羽那,ねーっ,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,18,4001011110120,羽那,タコさんウインナー、可愛いなー,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,22,4001011110140,羽那,へえーっ,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,25,4001011110170,羽那,"はるきちゃん、上手そう──！
作ったら見せてね？",283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,31,4001011110220,羽那＆プロデューサー,……ああ,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,32,4001011110230,羽那,"その時は、ルカちゃんも一緒に
楽しんでもらえたらいいよね──！",283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情\THE（CoMETIK）EPISODE\序章 改 (1).csv,8,4001074010041,ルカ＆羽那,……？,283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情\THE（CoMETIK）EPISODE\序章 改 (1).csv,11,4001074010070,羽那,あたしももう一回見たいなーっ,283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情\THE（CoMETIK）EPISODE\序章 改 (1).csv,12,4001074010071,羽那＆はるき,だめ？,283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情\THE（CoMETIK）EPISODE\序章 改 (1).csv,16,4001074010091,羽那＆はるき,──！,283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情\THE（CoMETIK）EPISODE\序章 改 (1).csv,28,4001074010130,羽那,"空気感──
『バイブス』みたいな感じですか？",283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情\THE（CoMETIK）EPISODE\序章 改 (1).csv,35,4001074010151,羽那＆はるき,はいっ,283活动剧情,THE（CoMETIK）EPISODE,序章 改 (1)
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,6,4001074020030,羽那,"えーっ
そうなんだー",283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,15,4001074020061,羽那＆はるき,ふふっ──！,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,16,4001074020070,羽那,はぁ、面白いーっ,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,19,4001074020100,羽那,……？,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,26,4001074020150,羽那,うんっ,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,29,4001074020180,羽那,あはっ、はるきちゃん勉強熱心──！,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,32,4001074020210,羽那,えーっ、そうなんだ,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,34,4001074020230,羽那,うんっ,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,35,4001074020240,羽那,…………,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,37,4001074020260,羽那,"──あ、ごめんね
ちょっと考えてたの",283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,38,4001074020270,羽那,"毎回はるきちゃんがゲストに来てくれるわけじゃ
ないんだよなーって",283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,39,4001074020280,羽那,あはっ、なんか急に不安になってきたーっ,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,42,4001074020310,羽那,"そっかー
いろんな人……",283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,43,4001074020320,羽那,ルカちゃんも、ゲストに呼んでみようかな？,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第一话 改.csv,46,4001074020350,羽那,ねーっ,283活动剧情,THE（CoMETIK）EPISODE,第一话 改
283活动剧情\THE（CoMETIK）EPISODE\第二话 改.csv,5,4001074030011,羽那＆はるき,ありがとうございます,283活动剧情,THE（CoMETIK）EPISODE,第二话 改
283活动剧情\THE（CoMETIK）EPISODE\第二话 改.csv,7,4001074030020,羽那,あーっ,283活动剧情,THE（CoMETIK）EPISODE,第二话 改
283活动剧情\THE（CoMETIK）EPISODE\第二话 改.csv,14,4001074030041,羽那＆はるき,…………,283活动剧情,THE（CoMETIK）EPISODE,第二话 改
283活动剧情\THE（CoMETIK）EPISODE\第二话 改.csv,34,4001074030180,羽那,よかったと思う──！,283活动剧情,THE（CoMETIK）EPISODE,第二话 改
283活动剧情\THE（CoMETIK）EPISODE\第二话 改.csv,39,4001074030230,羽那,えーっ,283活动剧情,THE（CoMETIK）EPISODE,第二话 改
283活动剧情\THE（CoMETIK）EPISODE\第二话 改.csv,40,4001074030240,羽那,"はるきちゃん、ちゃんとトークできてたよね？
ルカちゃん",283活动剧情,THE（CoMETIK）EPISODE,第二话 改
283活动剧情\THE（CoMETIK）EPISODE\第二话 改.csv,42,4001074030260,羽那,"もーっ
できてたよね？",283活动剧情,THE（CoMETIK）EPISODE,第二话 改
283活动剧情\THE（CoMETIK）EPISODE\第二话 改.csv,44,4001074030280,羽那,ルカちゃん～～っ──！,283活动剧情,THE（CoMETIK）EPISODE,第二话 改
283活动剧情\THE（CoMETIK）EPISODE\第二话 改.csv,51,4001074030320,羽那,ふふっ──！,283活动剧情,THE（CoMETIK）EPISODE,第二话 改
283活动剧情\THE（CoMETIK）EPISODE\第二话 改.csv,54,4001074030331,羽那＆はるき,……？,283活动剧情,THE（CoMETIK）EPISODE,第二话 改
283活动剧情\THE（CoMETIK）EPISODE\第二话 改.csv,58,4001074030341,羽那＆はるき,……！,283活动剧情,THE（CoMETIK）EPISODE,第二话 改
283活动剧情\THE（CoMETIK）EPISODE\第二话 改.csv,60,4001074030360,羽那,"シーズかーっ
歌もダンスもすごいよね？",283活动剧情,THE（CoMETIK）EPISODE,第二话 改
283活动剧情\THE（CoMETIK）EPISODE\第二话 改.csv,67,4001074030391,羽那＆はるき,……！,283活动剧情,THE（CoMETIK）EPISODE,第二话 改
283活动剧情\THE（CoMETIK）EPISODE\第二话 改.csv,71,4001074030411,羽那＆はるき,…………,283活动剧情,THE（CoMETIK）EPISODE,第二话 改
283活动剧情\THE（CoMETIK）EPISODE\第五话 改.csv,2,4001074060010,羽那,──あっ,283活动剧情,THE（CoMETIK）EPISODE,第五话 改
283活动剧情\THE（CoMETIK）EPISODE\第五话 改.csv,3,4001074060020,羽那,"ルカちゃんだーっ
お疲れ様",283活动剧情,THE（CoMETIK）EPISODE,第五话 改
283活动剧情\THE（CoMETIK）EPISODE\第五话 改.csv,4,4001074060030,羽那,体調はもう大丈夫？,283活动剧情,THE（CoMETIK）EPISODE,第五话 改
283活动剧情\THE（CoMETIK）EPISODE\第五话 改.csv,6,4001074060050,羽那,あはっ、大丈夫そう──！,283活动剧情,THE（CoMETIK）EPISODE,第五话 改
283活动剧情\THE（CoMETIK）EPISODE\第五话 改.csv,7,4001074060060,羽那,ルカちゃんが戻ってきてくれてよかったー,283活动剧情,THE（CoMETIK）EPISODE,第五话 改
283活动剧情\THE（CoMETIK）EPISODE\第五话 改.csv,10,4001074060090,羽那,？　あたしとはるきちゃん？,283活动剧情,THE（CoMETIK）EPISODE,第五话 改
283活动剧情\THE（CoMETIK）EPISODE\第五话 改.csv,12,4001074060110,羽那,えーっ,283活动剧情,THE（CoMETIK）EPISODE,第五话 改
283活动剧情\THE（CoMETIK）EPISODE\第五话 改.csv,13,4001074060120,羽那,それじゃあだぶるはだもん,283活动剧情,THE（CoMETIK）EPISODE,第五话 改
