file,line_no,id,speaker,text,trans,category,arc,episode
283活动剧情\2025ホワイトデー スペシャルコミュ\25羽那白情053.csv,3,4901900530010,羽那,"えーっ、うん
プロデューサーって結構そういうの気にするよね","欸——嗯
制作人总是考虑太多啦",283活动剧情,2025ホワイトデー スペシャルコミュ,25羽那白情053
283活动剧情\2025ホワイトデー スペシャルコミュ\25羽那白情053.csv,4,4901900530020,羽那,"あたしはこれが食べたかったし、
プロデューサーと一緒に来たかったんだよ？","我真的只是想吃这个
想跟制作人一起来而已哦？",283活动剧情,2025ホワイトデー スペシャルコミュ,25羽那白情053
283活动剧情\2025ホワイトデー スペシャルコミュ\25羽那白情054.csv,3,4901900540010,羽那,"えーっ、うん
プロデューサーって結構そういうの気にするよね","欸——嗯
制作人总是考虑太多啦",283活动剧情,2025ホワイトデー スペシャルコミュ,25羽那白情054
283活动剧情\2025ホワイトデー スペシャルコミュ\25羽那白情054.csv,6,4901900540020,羽那,"あー……
クロワッサンって日持ちしないよね？","啊——……
牛角包好像的确放不了太久呢？",283活动剧情,2025ホワイトデー スペシャルコミュ,25羽那白情054
283活动剧情\2025ホワイトデー スペシャルコミュ\25羽那白情054.csv,8,4901900540030,羽那,"えーっ、せっかくお返しにって
プロデューサーに買ってもらったのにーっ……","欸——
明明是制作人送给我的回礼……",283活动剧情,2025ホワイトデー スペシャルコミュ,25羽那白情054
283活动剧情\2025ホワイトデー スペシャルコミュ\25羽那白情054.csv,10,4901900540040,羽那,あはっ、それだ──！,啊哈，也对哦——！,283活动剧情,2025ホワイトデー スペシャルコミュ,25羽那白情054
283活动剧情\2025ホワイトデー スペシャルコミュ\25羽那白情054.csv,11,4901900540050,羽那,"じゃあこのクロワッサンは、
毎日一個ずつ今日のことを思い出しながら食べるね？","那这次的牛角包
我就每天一个，边吃边回忆今天的经历咯？",283活动剧情,2025ホワイトデー スペシャルコミュ,25羽那白情054
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,2,4001011110010,羽那,──そういえば、プロデューサー,──这么说来，制作人,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,3,4001011110020,羽那,この前、寮の子たちから聞いたんだけど,前些日子，我从舍友那边听说了,283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
283活动剧情\PiCNiC BASKET！\Exコミュ3いつかのピクニックの話.csv,4,4001011110030,羽那,"事務所のみんなで、
ピクニックに行ったことあるって本当？","事务所的所有人，
一起去野餐了的事是真的吗？",283活动剧情,PiCNiC BASKET！,Exコミュ3いつかのピクニックの話
